,Area ID,Data Source,Sample ID,Age  (Ma),Error (Ma),Mineral,Method,Location,#1 description,#2 description,Long,Lat,Rock Type,V/P,Chem Data Source,WR or Min Data,UMF,SiO2,TiO2,Al2O3,Fe#,FeO,Fe2O3,FeO(tot)*,MnO,Mn,Mg#,MgO,CaO,Na2O,K2O,LOI,SUM,Cr2O3,Cr,P2O5,Rb,Cs,Sr,Ba,Th,U,Zr,Hf,Nb,Y,Cu,Zn,Li,Cd,Ga,Ge,Mo,Sb,Sn,W,Ta,Pb,Co,Ni,La,Ce,Pr,Nd,Sm,Sc,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,V,Be,Rb.1,Sr.1,Age used,87Rb/86Sr,87Sr/86Sr(m),87Sr/86Sr(i),Sm.1,Nd.1,147Sm/144Nd,143Nd/144Nd(m),143Nd/144Nd(i),εNd,U.1,Th.1,Pb.1,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb,238U/204Pb,235U/204Pb,232Th/204Pb,(206Pb/204Pb)i,(207Pb/204Pb)i,(208Pb/204Pb)i,ε(Sr)m,ε(Sr)i age corrected ,ε(Nd)i age corrected,Lu.1,Hf.1,176Lu/177Hf,176Hf/177Hf,εHf,δ18O (Qtz),δ18O (Pl),δ18O (Ksp),δ18O (Bt),δ18O (Hb),δ18O (Mg),δ18O (Zir),δ18O (wr)
0,,,,Ma,,,,,,,,,,,,,,wt%,wt%,wt%,,,wt%,,wt%,wt%,,wt%,wt%,wt%,wt%,,,wt%,,wt%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,Ma,,,,ppm,ppm,,,,,ppm,ppm,ppm,,,,,,,,,,,,,,,,,,,,,,,,,
1,Peru,Martinez et al ,11829D,91.7,1.4,Zircon,U-Pb,Pampahuasi,Peruvian Coastal Batholith,Ica-Pisco ,-75.69561,-13.76292,Gabbro,P,"Martinez et al, New data",,M,47.1,0.67,19.7,,7.06,10.1,,0.21,1620,,7.01,11.2,1.8,0.17,,,<0.01,30.0,0.02,8.4,1,440,116,0.2,0.07,3,0.5,0.5,5.5,8,62,5,0.1,20,2,1,20,2,1,0.25,11,33,22,2.7,5.1,0.73,3.4,0.9,30,0.69,0.91,0.18,0.98,0.22,0.66,0.11,0.8,0.11,257,2.5,3.046703,464.424037,92,0.018970741040982442,0.704269,0.7042438324797394,0.808856,3.077246,0.15885703036127466,0.512706,0.5126104029468537,1.7711157491229201,0.07,0.2,11,18.67941,15.65012,38.55132,0.40671141451204545,0.0029513700741429054,1.2007494680906206,18.673563588151552,15.649840177690054,38.54583815022867,,,,,,,,,,,,,,,,
2,Peru,Martinez et al ,11829C,98.3,1.9,Zircon,U-Pb,Pampahuasi,Peruvian Coastal Batholith,Ica-Pisco ,-75.69473,-13.75874,Gabbro,P,"Martinez et al, New data",,M,47.6,1.08,20.3,,6.59,9.27,,0.1,780,,3.74,10.6,3.4,0.28,,,<0.01,10.0,0.11,10.4,0.7,483,179,1.5,0.4,40.2,1,0.5,13.8,73,18,5,0.2,23,1,1,23,1,1,0.25,11,17.7,10,8,15.4,2.17,9.6,2.3,27,1.1,2.59,0.4,2.24,0.49,1.53,0.22,1.4,0.21,357,2.5,8.563785,527.888923,92,0.0469131023586654,0.704318,0.7042557627657482,2.102332,8.258701,0.15384620831243165,0.512704,0.5126114183615359,1.7909279596839411,0.4,1.5,11,18.72758516112672,15.677464469611518,38.67124476242133,2.3302152919042936,0.016909600845817475,9.029452168283793,18.69408868719969,15.675861253664324,38.6300220913985,,,,,,,,,,,,,,,,
3,Peru,Martinez et al ,13902M,97.8,0.7,Zircon,U-Pb,Pampahuasi,Peruvian Coastal Batholith,Ica-Pisco ,-75.61225,-13.93131,Gabbro,P,"Martinez et al, New data",,M,49.7,0.58,22.9,,5.08,6.73,,0.1,820,,2.89,11.2,2.62,0.82,,,<0.01,5.0,0.03,56.7,3.8,580,360,6.2,1.76,33.5,1,0.5,9.6,30,38,20,0.2,22,1,4,22,1,4,0.25,8,20.7,16,7.5,15.2,1.94,7.4,1.7,23,0.71,1.71,0.26,1.56,0.34,1.04,0.16,0.9,0.16,273,2.5,47.666208,562.087609,92,0.24523918509599518,0.704608,0.7042826536075605,1.487568,6.896988,0.13035054638917437,0.512687,0.5126085575912349,1.7351101893070542,1.76,6.2,8,18.803031812304475,15.638876560565778,38.777441520544535,14.124963050836872,0.1025001801255803,51.41625350542697,18.59998771668105,15.629158417312965,38.54270797702731,,,,,,,,,,,,,,,,
4,Peru,Martinez et al ,10714M,97.8,0.7,Zircon,U-Pb,Pampahuasi,Peruvian Coastal Batholith,Ica-Pisco ,-75.59167,-13.8371,Monzodiorite,P,"Martinez et al, New data",,M,54.2,0.86,17.8,,5.73,8.12,,0.18,1400,,2.57,6.32,3.9,2.81,,,<0.01,170.0,0.36,131,8.2,469,1080,18,4.17,259,7,8,30.3,26,73,5,0.4,21,2,2,21,2,2,0.25,12,16.7,2.5,37.8,78.1,10,41.7,8.1,14,1.7,6.51,1.05,5.63,1.17,3.21,0.46,3.1,0.49,127,2.5,128.618087,466.40538,96,0.7975501002348594,0.70546,0.7043558958800482,5.911168,40.815946,0.08752503233601747,0.512622,0.5125670383918722,1.0254685910271455,4.17,18,12,19.09302,15.66275,39.14793,22.51645838727639,0.16339448338232807,100.43165457174028,18.75517180069797,15.646552505102884,38.66944118794688,,,,,,,,,,,,,,,,
5,Peru,Martinez et al ,10720O,104.8,0.4,Zircon,U-Pb,Linga Humay/Auquish,Peruvian Coastal Batholith,Ica-Pisco ,-75.62737,-14.02803,Monzodiorite,P,"Martinez et al, New data",,M,55.1,0.72,15.9,,5.6,7.76,,0.11,880,,2.56,6.15,3.5,2.43,,,0.01,60.0,0.18,57.1,1.6,379,1010,11.9,2.87,148,4,5,29,6,21,5,0.1,19,2,1,19,2,1,0.25,12,17.5,6,19,45.1,6.15,26.9,5.7,22,0.98,5.01,0.84,5.02,1.03,2.93,0.45,2.8,0.46,164,2.5,52.576095,361.626281,105,0.4204791893752469,0.705382,0.7047452883467483,5.834519,26.707459,0.13202890177167148,0.512697,0.5126063167640327,2.017919214609698,2.87,11.9,12,19.2265,15.6745,39.0097,15.498124575131177,0.11246475865758174,66.40156238976878,18.971979531228598,15.66225099224575,38.66360575785173,,,,,,,,,,,,,,,,
6,Peru,Martinez et al ,10714P,91.7,1.4,Zircon,U-Pb,Pampahuasi,Peruvian Coastal Batholith,Ica-Pisco ,-75.56205,-13.83987,Tonalite-Diorite,P,"Martinez et al, New data",,F,56.3,0.75,15.5,,5.55,7.87,,0.16,1240,,2.68,5.72,3.7,1.76,,,<0.01,80.0,0.16,52.7,2.7,329,853,9.9,1.83,125,7,5,37.2,23,64,10,0.3,20,2,1,20,2,1,0.25,11,17.6,2.5,27.9,56.6,7.32,29.5,6.6,24,1.3,6.21,1.01,6.16,1.32,4.01,0.6,3.9,0.62,161,2.5,56.021052,315.903732,92,0.512852305862665,0.704903,0.7042226248490983,4.1785,27.665921,0.09127955984036332,0.512714,0.512659069746593,2.720675471536982,1.83,9.9,11,18.86507039146218,15.63943851312105,38.798382884878,10.693242992753156,0.07759732389663553,59.776106882026646,18.71135672545606,15.632081434248228,38.52548362774716,,,,,,,,,,,,,,,,
7,Peru,Martinez et al ,13820J,104.8,0.4,Zircon,U-Pb,Linga Humay,Peruvian Coastal Batholith,Ica-Pisco ,-75.88131,-13.7011,Monzogabbro,P,"Martinez et al, New data",,F,56.4,0.71,16.3,,6.1,8.88,,0.11,880,,4.03,6.84,3.95,2.27,,,<0.01,40.0,0.1,61.6,0.7,360,990,10.1,3.09,116,4,3,29.1,60,40,5,0.3,19,2,5,19,2,5,0.25,8,22.6,16,22.4,45.3,6.21,24.5,5.9,29,1.22,5.55,0.84,5.03,1.02,3.18,0.48,3.2,0.48,236,2.5,53.073381,346.209999,105,0.4433523129591409,0.70528,0.7046086526627475,4.825913,20.943301,0.13926153686399673,0.5127,0.5126043490732777,1.9795254657473116,3.09,10.1,8,19.02102203188623,15.655423315779032,38.9456827996172,24.933182374474438,0.18093184918711397,84.21213812444134,18.61155279351805,15.635717270524168,38.506757342520494,,,,,,,,,,,,,,,,
8,Peru,Martinez et al ,10714H,104.8,0.4,Zircon,U-Pb,Linga Humay,Peruvian Coastal Batholith,Ica-Pisco ,-75.67537,-13.95362,Monzodiorite,P,"Martinez et al, New data",,F,56.6,0.66,15.9,,5.26,7.31,,0.12,1010,,2.42,5.37,3.7,2.75,,,<0.01,90.0,0.14,120,6.8,307,850,15.4,3.98,189,4,4,27.1,84,45,20,0.8,19,2,4,19,2,4,0.25,20,19.4,6,22.3,47.1,6.13,25.2,5.1,20,1.01,4.7,0.81,4.5,0.93,2.73,0.43,2.7,0.46,156,2.5,117.632575,296.649132,105,1.1469022266115199,0.705987,0.7042503004646228,7.703585,26.622271,0.174881385327489,0.51269,0.5125698838002958,1.3070361368372474,3.98,15.4,20,18.9731,15.6119,38.8064,12.80608667317378,0.09292953092902681,51.20214694778299,18.762789961041246,15.601778655691477,38.53952723968392,,,,,,,,,,,,,,,,
9,Peru,Martinez et al ,10721M,104.8,0.4,Zircon,U-Pb,Linga Humay,Peruvian Coastal Batholith,Ica-Pisco ,-75.74976,-13.75416,Monzodiorite,P,"Martinez et al, New data",,F,57.3,0.61,15.2,,5.42,7.55,,0.14,1080,,2.7,5.5,3.6,2.54,,,0.02,90.0,0.12,73.5,1.8,301,1020,13.6,3.42,187,5,5,31.6,70,57,5,0.3,20,2,1,20,2,1,0.25,11,18.1,8,26,51.3,6.7,26.8,5.7,21,1.18,5.41,0.9,5.27,1.12,3.34,0.5,3.1,0.53,158,2.5,67.910171,292.226778,105,0.6720878583680653,0.705266,0.704248289296962,5.864209,27.151879,0.13052865666413757,0.512695,0.5126053471981216,1.9990009623360727,3.42,13.6,11,19.12627,15.66075,39.06237,20.13079696173746,0.14608252830277824,82.71949167860319,18.795668716302423,15.644839540196418,38.631224425211414,,,,,,,,,,,,,,,,
