,sample,reference,domain,lithology,age ±2σ,method,latitude,longitude,sio2,tio2,al2o3,feo,mno,mgo,cao,na2o,k2o,p2o5,cr2o3,total,loi,nio,be_ppm,sc_ppm,ni_ppm,cu_ppm,zn_ppm,rb_ppm,sr_ppm,y_ppm,zr_ppm,nb_ppm,mo_ppm,cs_ppm,ba_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,er_ppm,tm_ppm,yb_ppm,ybn,lu_ppm,hf_ppm,ta_ppm,w_ppm,pb_ppm,th_ppm,u_ppm,co_ppm,ag_ppm,sn_ppm,sb_ppm,bi_ppm,as_ppm,age,age_error,code,internal code,error,fe#,a/cnk,a/nk,y+nb,sr/y,rb/y,fe2o3,ho_ppm,εndi,type,source,si_ppm,fe_ppm,mg_ppm,asi
0,R.6067.8,18JB02,Central,Alkali granite,208 ± 3 Ma,Zircon U-Pb,-70.69,-66.58,71.18,0.45,15.95,1.49,0.01,0.52,2.15,3.38,4.93,0.27,-,100.33,0.59,9.65,2.51,9.47,7.59,5.11,68.57,108.86,463.98,17.57,44.67,5.00,0.73,0.24,1878.83,26.89,57.39,6.91,29.21,6.66,2.51,5.88,0.73,3.88,1.70,0.23,1.46,8.61,0.19,1.20,0.11,1.41,45.57,3.90,0.30,3.64,0.03,1.37,11.75,0.04,-,208.0,3.0,,,,,,,,,,,,,,,,,,
1,R.6306.7,18JB18,Central,Alkali granite,212 ± 2 Ma,Zircon U-Pb,-71.61,-66.35,70.81,0.42,14.54,1.77,0.04,0.62,1.17,3.15,4.79,0.28,0.01,97.58,0.75,13.04,8.78,11.74,10.25,5.90,103.62,373.96,135.85,12.88,113.93,17.36,1.19,2.68,320.89,26.72,72.57,7.46,28.76,6.03,0.64,4.46,0.55,2.70,1.12,0.13,1.04,6.09,0.14,3.68,1.08,0.98,57.54,18.11,11.30,4.50,0.03,10.60,10.29,0.08,,212.0,2.0,,,,,,,,,,,,,,,,,,
2,R.5786.3,18JB20,Central,Syenogranite,203 ± 1 Ma,Zircon U-Pb,-70.92,-66.92,75.14,0.39,12.85,2.02,0.05,0.56,1.41,2.94,4.13,0.10,0.01,99.59,0.46,6.28,7.40,11.70,4.93,5.84,65.39,244.88,192.99,26.46,149.26,16.20,950.67,2.55,361.87,47.46,104.81,11.62,44.06,8.62,0.77,6.60,0.91,5.04,2.50,0.37,2.37,13.94,0.33,5.05,1.59,1.15,41.00,35.52,5.03,4.31,0.03,5.67,11.27,0.06,,203.0,1.0,,,,,,,,,,,,,,,,,,
3,R.5290.1,18JB27,Central,Quartz-syenite,217 ± 2 Ma,Zircon U-Pb,-70.53,-66.8,63.01,0.79,17.59,5.06,0.13,1.79,3.96,4.71,4.02,0.18,-,101.23,0.60,5.98,6.61,18.05,4.70,15.67,83.46,110.03,1330.27,45.45,226.41,22.66,0.75,0.33,1532.77,44.19,102.97,13.45,57.22,12.51,2.46,10.58,1.51,8.89,4.43,0.63,4.20,24.68,0.58,6.20,1.35,0.10,32.23,6.47,1.70,8.34,-,6.38,0.30,0.06,1.62,217.0,2.0,,,,,,,,,,,,,,,,,,
4,K7.526.3,18JB34,Eastern,Alkali granite,215 ± 2 Ma,Zircon U-Pb,-68.2,-65.18,69.37,0.64,14.95,3.23,0.03,0.92,1.65,2.77,5.79,0.24,-,99.58,0.44,3.58,2.88,13.96,2.81,17.02,60.26,224.70,253.47,44.88,476.42,14.63,0.42,2.69,1268.99,124.08,242.84,26.27,97.58,15.09,1.34,12.30,1.85,10.61,3.65,0.44,2.57,15.10,0.35,12.69,0.91,0.17,43.85,56.21,5.32,4.63,-,4.13,1.99,0.12,1.90,215.0,2.0,,,,,,,,,,,,,,,,,,
5,K7.562,18JB43,Eastern,Monzogranite,217 ± 1 Ma,Zircon U-Pb,-68.19,-65.3,65.09,1.24,16.72,6.49,0.07,2.17,3.38,2.93,3.75,0.45,0.01,102.30,0.46,20.14,4.81,16.22,15.83,29.08,118.07,238.22,349.33,28.96,434.11,24.49,0.55,3.39,672.57,75.27,156.51,18.03,71.47,12.25,1.85,8.80,1.02,5.74,2.86,0.45,3.38,19.86,0.50,11.62,1.98,0.26,20.84,32.99,2.50,13.05,-,7.58,0.81,0.07,1.27,217.0,1.0,,,,,,,,,,,,,,,,,,
6,K7.557.1,18JB03,Eastern,Alkali granite,223 ± 2 Ma,Zircon U-Pb,-68.11,-65.02,69.70,0.51,14.56,2.45,0.05,0.74,1.48,2.88,5.74,0.22,0.01,98.33,1.49,4.87,5.53,8.93,3.83,6.32,66.21,331.64,212.71,19.61,221.54,19.13,0.47,3.81,596.33,66.27,142.93,15.97,61.48,10.95,1.14,7.05,0.81,4.29,1.78,0.24,1.55,9.12,0.21,6.39,1.51,0.83,34.12,42.14,3.69,3.82,-,-,-,-,-,223.0,2.0,,,,,,,,,,,,,,,,,,
0,,,,,,U-Pb Zr,-63.55,-58.93,71.44,0.36,15.39,,0.04,,3.17,,3.08,0.08,,100.24,0.91,,2.96,16.88,7.88,9.66,40.63,101.93,287.66,16.46,111.64,9.04,0.49,2.27,,23.33,,5.29,19.69,3.83,1.01,3.55,0.53,3.41,1.88,0.26,1.79,,0.28,2.93,0.59,0.27,14.53,7.55,,4.13,,,,,,162.9,,PRR-5983,15JB72,2.3,0.85,1.06,1.77,25.50,17.48,6.19,2.83,0.69,,,,,,,
1,,,,,,U-Pb Zr,-68.18,-67.0,70.20,0.16,12.98,,0.04,,1.37,,4.83,0.04,,144.85,5.18,,3.19,17.61,11.82,77.12,54.89,93.51,247.71,26.74,101.79,9.10,1.03,2.19,,22.22,,5.71,23.25,5.02,0.72,4.68,0.72,4.81,2.86,0.44,3.09,,0.45,3.70,0.72,1.76,15.06,11.01,,,,,,,,155.7,,PRR-6037,15JB73,1.6,0.82,1.01,1.25,35.84,9.26,3.50,1.71,0.98,-2.57,,,,,,
2,,,,,,U-Pb Zr,-63.42,-57.01,76.44,0.16,12.16,,0.04,,0.43,,3.28,0.02,0.01,99.71,0.84,,2.46,13.52,3.79,6.96,40.24,101.38,96.26,26.55,145.49,8.49,0.76,0.58,,92.98,,18.14,66.87,9.78,0.93,7.13,0.86,5.33,2.67,0.38,2.68,,0.38,4.47,0.70,0.81,22.48,18.64,,1.14,,,,,,159.7,,PRR-32977,16JB69,1.3,0.80,1.13,1.21,35.04,3.63,3.82,1.97,0.93,-4.06,,,,,,
