,sample,longitude,latitude,lithology,unit,authors,sio2,al2o3,fe2o3,mgo,cao,na2o,k2o,tio2,p2o5,mno,cr2o3,ni_ppm,loi,sum,ba_ppm,be_ppm,co_ppm,cs_ppm,ga_ppm,hf_ppm,nb_ppm,rb_ppm,sn_ppm,sr_ppm,ta_ppm,th_ppm,u_ppm,v_ppm,w_ppm,zr_ppm,y_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,mo_ppm,cu_ppm,pb_ppm,zn_ppm,cr_ppm,nio,as_ppm,cd_ppm,sb_ppm,bi_ppm,ag_ppm,au_ppm,hg_ppm,tl_ppm,se_ppm,sc_ppm,eu/eu*,lan/ybn,lan/smn,rb/sr,sr/y,age_ma,feot,total,ti_ppm
0,900008,-77.3572823771,8.59614857059,Hornblende Gabbro,Acandí Batholith,"Rodríguez et al., 2010",51.0,16.0,6.8,10.0,13.0,1.4,0.1,0.2,0.1,0.1,,50,2.1,101.0,38.0,< 1,33.0,0.2,10.0,0.5,0.4,< 1,< 1,164.0,< 0.01,0.3,0.1,127.0,< 0.5,16.0,6.4,1.8,4.1,0.6,2.8,0.8,0.3,1.0,0.2,1.1,0.2,0.7,0.1,0.7,0.1,< 2,20,< 5,40,130,,< 5,,< 0.2,< 0.1,< 0.5,,,< 0.05,,44.0,1.03,1.71,1.38,,25.625,49.5,,,
1,900059,-77.396252006,8.63777325812,Microdiorite,Acandí Batholith,"Rodríguez et al., 2010",57.0,15.0,10.0,4.9,6.0,5.0,0.1,0.8,0.1,0.2,,20,2.4,101.0,59.0,< 1,37.0,< 0.1,14.0,2.1,1,< 1,< 1,128.0,0.1,0.7,0.2,332.0,0.6,70.0,21.0,5.2,13.0,1.8,9.0,2.6,0.9,3.1,0.6,3.7,0.8,2.3,0.4,2.4,0.4,< 2,200,< 5,100,40,,< 5,,< 0.2,< 0.1,< 0.5,,,< 0.05,,39.0,0.97,1.44,1.23,,6.095238095238095,49.5,,,
2,900072,-77.3335880947,8.50851559759,Tonalite,Acandí Batholith,"Rodríguez et al., 2010",61.0,16.0,6.7,2.7,6.8,3.0,1.0,0.5,0.1,0.2,,< 20,0.6,99.0,392.0,< 1,13.0,0.3,16.0,2.5,1.6,20,< 1,270.0,0.1,1.2,0.4,165.0,< 0.5,97.0,16.0,8.8,18.0,2.4,10.0,2.5,0.8,2.6,0.4,2.6,0.5,1.6,0.3,1.8,0.3,< 2,40,< 5,60,< 20,,< 5,,< 0.2,< 0.1,< 0.5,,,< 0.05,,17.0,0.96,3.26,2.17,0.07407407407407407,16.875,49.5,,,
3,900087,-77.3475394928,8.57647188229,Quartzmonzogabbro,Acandí Batholith,"Rodríguez et al., 2010",48.0,20.0,9.6,4.1,11.0,2.4,1.0,0.7,0.2,0.2,,20,2.8,99.0,309.0,< 1,25.0,0.1,19.0,1.6,0.8,17,< 1,390.0,0,0.8,0.3,410.0,< 0.5,56.0,19.0,7.4,16.0,2.5,12.0,3.1,1.0,3.4,0.5,3.1,0.6,1.9,0.3,2.0,0.3,< 2,190,< 5,80,< 20,,< 5,,< 0.2,< 0.1,< 0.5,,,< 0.05,,33.0,0.95,2.47,1.47,0.04358974358974359,20.526315789473685,49.5,,,
4,900090,-77.3447692194,8.52316470751,Tonalite,Acandí Batholith,"Rodríguez et al., 2010",63.0,17.0,5.8,2.2,6.4,3.3,0.7,0.4,0.1,0.2,,< 20,1.7,101.0,404.0,< 1,9.0,0.3,16.0,2.1,1.3,16,< 1,382.0,0.1,1.3,0.4,124.0,< 0.5,79.0,15.0,8.9,17.0,2.4,9.9,2.3,0.7,2.3,0.4,2.4,0.5,1.5,0.2,1.7,0.3,< 2,10,< 5,60,< 20,,< 5,,< 0.2,< 0.1,< 0.5,,,< 0.05,,12.0,0.94,3.49,2.38,0.041884816753926704,25.466666666666665,49.5,,,
5,900093,-77.373138462,8.52862392416,Diorite,Acandí Batholith,"Rodríguez et al., 2010",45.0,21.0,11.0,5.3,13.0,2.0,0.4,0.6,0.0,0.1,,< 20,1.8,100.0,116.0,< 1,26.0,0.5,16.0,0.6,0.4,6,< 1,379.0,< 0.01,0.4,0.2,521.0,< 0.5,21.0,8.4,3,6.8,1.0,4.5,1.2,0.4,1.3,0.2,1.5,0.3,0.9,0.1,0.9,0.1,< 2,160,< 5,70,< 20,,< 5,,< 0.2,< 0.1,< 0.5,,,< 0.05,,41.0,0.98,2.22,1.54,0.0158311345646438,45.11904761904762,49.5,,,
6,900171,-77.3116239348,8.37833850686,Tonalite,Acandí Batholith,"Rodríguez et al., 2010",65.0,16.0,4.9,1.7,4.5,3.8,1.9,0.5,0.1,0.1,,< 20,1.1,100.0,595.0,< 1,8.0,0.2,15.0,3.6,1.8,26,< 1,301.0,0.1,1.7,0.6,110.0,0.6,119.0,25.0,12,23.0,3.5,15.0,3.9,1.0,4.2,0.7,4.3,0.9,2.7,0.4,3.0,0.5,< 2,20,< 5,60,< 20,,< 5,,0.6,< 0.1,< 0.5,,,0.2,,13.0,0.76,2.67,1.89,0.08637873754152824,12.04,49.5,,,
7,900178,-77.3095024841,8.44704720025,Diorite,Acandí Batholith,"Rodríguez et al., 2010",50.0,16.0,12.0,4.5,8.2,2.6,1.6,0.9,0.2,0.2,,< 20,3.3,100.0,510.0,< 1,27.0,0.2,16.0,2.2,1.3,24,< 1,385.0,< 0.01,0.8,0.5,460.0,< 0.5,72.0,23.0,9.4,19.0,3.1,15.0,4.0,1.2,4.1,0.7,4.0,0.8,2.4,0.4,2.4,0.4,< 2,260,< 5,100,< 20,,< 5,,0.7,< 0.1,< 0.5,,,0.1,,36.0,0.91,2.61,1.45,0.06233766233766234,16.73913043478261,49.5,,,
8,900184,-77.183241518,8.30301012405,Diorite,Acandí Batholith,"Rodríguez et al., 2010",62.0,16.0,5.0,2.5,3.7,4.6,1.5,0.3,0.1,0.1,,< 20,3.8,100.0,522.0,< 1,9.0,0.1,14.0,2.3,1.6,22,< 1,261.0,0,1.5,0.6,117.0,0.8,81.0,14.0,10,18.0,2.6,11.0,2.5,0.7,2.2,0.4,2.3,0.5,1.5,0.2,1.8,0.3,< 2,30,< 5,50,< 20,,< 5,,0.6,< 0.1,< 0.5,,,0.1,,11.0,0.92,3.7,2.46,0.0842911877394636,18.642857142857142,49.5,,,
9,900184,-77.183241518,8.30301012405,Diorite,Acandí Batholith,"Rodríguez et al., 2010",62.0,16.0,4.9,2.5,3.7,4.5,1.5,0.3,0.1,0.1,,< 20,3.8,100.0,509.0,< 1,9.0,0.1,14.0,2.4,1.3,22,< 1,248.0,0,1.5,0.6,114.0,< 0.5,81.0,13.0,10,18.0,2.6,11.0,2.3,0.7,2.1,0.4,2.2,0.5,1.4,0.2,1.7,0.3,< 2,20,< 5,50,< 20,,< 5,,0.4,< 0.1,< 0.5,,,0.1,,11.0,0.98,3.92,2.67,0.08870967741935484,19.076923076923077,49.5,,,
