,sample,rock type,locality,coordinates (lats/ longw),sio2,tio2,al2o3,feo_tot,mgo,mno,cao,na2o,k2o,p2o5,loi,total,longitude,latitude,li_ppm,be_ppm,sc_ppm,v_ppm,cr_ppm,co_ppm,ni_ppm,cu_ppm,zn_ppm,ga_ppm,rb_ppm,sr_ppm,y_ppm,zr_ppm,nb_ppm,cs_ppm,ba_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,hf_ppm,ta_ppm,pb_ppm,th_ppm,u_ppm,age_ma,age_error_ma
0,A1015-29,Qz-diorite,Risopatrón river,S44º1'11.5''/W72º33'56.2'',60.01,0.91,17.04,6.64,2.46,0.14,5.87,3.63,1.71,0.2,0.26,98.86999999999999,-72.56561111111111,-44.01986111111111,19.703,1.34,22.885,194.607,983.253,26.548,36.727,24.397,119.342,18.917,60.549,301.888,30.521,246.8,8.006,2.003,410.888,20.64,43.784,5.543,23.606,5.652,1.339,5.368,0.836,5.169,1.086,2.861,0.455,2.71,0.402,0.322,1.659,8.8,5.047,0.905,8.0,0.2
1,A1015-30,Qz-diorite,San Nicolás bridge,S44º0'15.8''/W72º39'59.7'',60.95,0.66,17.66,6.26,2.06,0.13,5.17,4.02,1.57,0.25,0.3,99.02999999999999,-72.66658333333334,-44.00438888888889,14.943,1.095,10.224,143.092,751.491,21.289,27.214,15.07,120.783,17.529,43.913,337.925,18.314,160.6,5.03,1.384,356.18,13.677,28.832,3.547,14.532,3.324,1.089,3.149,0.497,2.955,0.635,1.737,0.293,1.806,0.293,0.05,1.312,5.302,3.705,0.655,15.8,0.2
2,A1015-31,Diorite,San Nicolás bridge,S44º0'15.8''/W72º39'59.7'',48.25,1.11,18.67,8.44,5.41,0.15,9.23,3.23,0.64,0.21,3.36,98.7,-72.66658333333334,-44.00438888888889,15.244,0.718,27.753,251.227,448.001,36.354,37.751,39.5,103.554,17.764,15.949,504.306,19.787,77.6,3.911,0.605,163.749,9.508,21.896,3.023,13.966,3.593,1.229,3.521,0.553,3.314,0.713,1.884,0.297,1.838,0.283,1.417,0.942,3.918,1.285,0.355,6.4,0.2
3,A1015-33,Diorite,,S43º56'21.7''/W72º48'7.4'',53.34,0.94,17.26,7.94,5.32,0.15,9.08,3.12,0.85,0.16,0.51,98.67000000000002,-72.80205555555555,-43.93936111111111,9.529,0.809,33.713,259.246,556.288,37.917,46.51,22.263,92.103,18.099,23.431,303.461,19.021,73.7,4.338,0.724,184.653,10.686,22.399,2.794,12.006,3.101,1.031,3.182,0.515,3.188,0.685,1.85,0.296,1.797,0.276,0.271,1.799,4.439,1.366,0.413,6.4,0.2
4,A1015-36,Qz-diorite,,S43º55'16.5''/W72º48'31.7'',54.33,1.1,18.3,8.07,3.87,0.16,7.66,3.41,1.02,0.23,0.38,98.53,-72.80880555555555,-43.92125,11.517,0.955,22.906,258.285,716.421,31.164,34.701,47.822,83.719,19.762,29.84,380.844,24.385,131.9,5.863,1.365,231.456,13.254,30.207,3.957,16.545,4.067,1.24,4.102,0.647,4.049,0.871,2.33,0.37,2.211,0.335,0.413,1.395,5.256,2.074,0.602,5.9,0.1
5,A1015-38,Diorite,,S43º53'10.7''/W72º55'6.5'',51.54,0.72,20.5,6.43,5.96,0.13,10.15,2.9,0.22,0.07,0.29,98.91,-72.91847222222222,-43.88630555555556,7.119,0.493,25.068,214.254,810.946,38.474,54.261,22.375,60.025,18.263,5.279,468.715,8.435,21.1,3.03,0.307,92.898,4.439,9.658,1.289,5.458,5.458,0.731,1.523,0.241,1.471,0.326,0.836,0.135,0.846,0.136,0.56,1.581,2.583,0.305,0.085,15.9,0.1
6,PAL14-7,Qz-diorite,,"S44º15,791/W72º31,450",58.55,1.09,16.92,6.29,2.71,0.11,5.65,4.83,1.9,0.31,0.78,99.14000000000001,-72.52416666666667,-44.26318333333333,12.335,1.278,15.97,131.874,22.079,47.659,19.752,26.246,57.851,18.628,53.803,404.084,21.145,219,8.788,1.087,398.047,19.973,41.576,5.149,21.413,4.712,1.44,4.22,0.643,3.708,0.754,1.954,0.309,1.764,0.262,0.0,3.975,4.808,5.082,1.262,4.4,0.04
7,PAL14-10,Qz-diorite,,"S43º54,715/W72º49,066",54.95,0.99,17.95,7.34,4.22,0.15,7.74,3.26,1.45,0.17,0.57,98.79,-72.81776666666667,-43.91191666666667,11.884,0.926,24.738,231.342,684.999,40.86,48.151,48.894,76.786,18.161,42.878,305.215,25.255,130.9,6.148,1.119,281.352,12.883,29.831,3.941,16.197,3.978,1.138,4.063,0.655,4.046,0.889,2.41,0.392,2.392,0.362,0.581,1.424,6.153,3.306,0.908,6.24,0.1
8,A1015-40,Diorite,La Balsa,S43º51'1.2''/W72º56'55.6',47.8,1.29,19.33,10.03,5.69,0.17,10.12,2.52,0.11,0.17,1.13,98.35999999999999,-72.94877777777778,-43.85033333333333,9.093,0.488,27.534,325.384,937.873,27.46,44.032,74.486,101.662,20.4,4.204,500.814,9.397,7.3,3.185,0.665,136.924,4.197,9.754,1.425,6.728,1.893,1.034,1.952,0.304,1.807,0.36,0.904,0.144,0.849,0.133,0.386,0.239,3.499,0.117,0.036,33.9,0.4
9,PAL14-8,Diorite,,"S44º14,566/W72º30,854",50.06,1.79,15.78,8.28,7.51,0.14,9.39,3.19,0.51,0.27,1.6,98.52,-72.51423333333334,-44.24276666666667,6.561,1.124,28.577,206.244,277.916,39.343,132.906,16.757,59.655,16.677,11.263,257.852,32.438,169.9,8.952,0.602,72.496,11.589,28.471,3.971,18.97,5.099,1.575,5.192,0.844,5.479,1.158,3.098,0.456,2.833,0.422,0.58,3.147,2.568,0.87,0.219,23.7,0.5
