,sample1,sample2,_,utm_x,utm_y,unit,__,lithology,longitude,latitude,sampleno,unnamed: 0,unnamed: 2,age,unnamed: 4,unnamed: 5,lithology,unnamed: 7,87/86sr m,2σ,rb_ppm,sr_ppm,(rb/sr),10*(rb/sr),(87rb/86sr)c,87rb/86sr i,(86/87sr)°,unnamed: 17,source,mixing,unnamed: 20,87/86 sr chur°,εsr°,deltasrtoday,unnamed: 24,143/144 nd,2σ.1,sm_ppm,nd_ppm,(147sm/144nd),(147sm/144nd)c,âge.1,(143nd/144nd)°,unnamed: 33,143nd/144nd chur°,εnd°,unnamed: 36,sio2,al2o3,fe2o3,cao,mgo,na2o,k2o,cr2o3,tio2,mno,p2o5,sro,bao,loi,total,unnamed: 52,ag_ppm,as_ppm,ba_ppm,be_ppm,bi_ppm,cd_ppm,ce_ppm,co_ppm,cr_ppm,cs_ppm,cu_ppm,dy_ppm,er_ppm,eu_ppm,ga_ppm,gd_ppm,ge_ppm,hf_ppm,ho_ppm,la_ppm,lu_ppm,mo_ppm,nb_ppm,nb*10,nd.1,ni_ppm,pb_ppm,pr_ppm,rb.1,sb_ppm,sm.1,sn_ppm,sr.1,ta_ppm,tb_ppm,th_ppm,tl_ppm,tm_ppm,u_ppm,v_ppm,w_ppm,y_ppm,yb_ppm,zn_ppm,zr_ppm,na+k,k_ppm,p_ppm,ti_ppm,unnamed: 102,feo,unnamed: 104,mgo molar,feo molar,mg#,unnamed: 108,nb/ta,unnamed: 110,unnamed: 111,cs.1,rb.2,ba.1,th.1,u.1,nb.1,ta.1,k.1,la.1,ce.1,pb.1,pr.1,sr.2,p.1,nd.2,zr.1,hf.1,sm.2,eu.1,ti.1,gd.1,tb.1,dy.1,y.1,ho.1,er.1,tm.1,yb.1,lu.1,unnamed: 141,dy/yb,zr/sm,nb/la,sr/pb,la/sm,u/th,sr/y,sm/yb,u/pb,gd/yb,la/yb,unnamed: 153,unnamed: 154,unnamed: 155,unnamed: 156,unnamed: 157,unnamed: 158,unnamed: 159,unnamed: 160,unnamed: 161,unnamed: 162,unnamed: 163,unnamed: 164,unnamed: 165,unnamed: 166,unnamed: 167,unnamed: 168,unnamed: 169,unnamed: 170,unnamed: 171,unnamed: 172,unnamed: 173,unnamed: 174,unnamed: 175,unnamed: 176,unnamed: 177,unnamed: 178,unnamed: 179,unnamed: 180,unnamed: 181,unnamed: 182,unnamed: 183,unnamed: 184,unnamed: 185,unnamed: 186,unnamed: 187,unnamed: 188,unnamed: 189,unnamed: 190,unnamed: 191,unnamed: 192,unnamed: 193,unnamed: 194,unnamed: 195,unnamed: 196,unnamed: 197,unnamed: 198,unnamed: 199,unnamed: 200,unnamed: 201,unnamed: 202,unnamed: 203,unnamed: 204
0,09SD,09,19K,220139.0,8178708.0,G&D,,Qz-diorite,-71.62099751153998,-16.456913542094224,09SD09,12,Caldera K?,200.0,Mafic,nord,Qz-diorite,,0.707968,14.0,63.9,307.0,0.20814332247557002,20.814332247557,0.5848508994695765,,0.7063046626244175,,,,,0.7042647981714905,28.964452833979415,85.01424501424549,,0.512543,6.0,3.13,14.0,0.22357142857142856,0.13520841728435715,200.0,0.5123660316781402,,0.5123805480631387,-0.2833125701862116,,67.0,15.5,3.63,3.04,1.44,4.23,2.0,<0.01,0.32,0.12,0.1,0.04,0.05,0.59,98.1,,<1,,447.0,,,,28.0,56.9,<10,1.0,7,3.07,2.14,0.83,16.6,2.9,,4.3,0.66,13.8,0.42,<2,5.6,56.0,13.9,<5,8.0,3.47,62.0,,3.2,1,303.0,0.5,0.48,11.9,<0.5,0.34,3.3,62.0,268.0,19.7,2.65,50.0,137.0,6.23,16602.600000000002,436.46000000000004,1918.4,,3.266274,,0.035728463676061924,0.045462155165214485,44.005655069472105,,11.2,,,47.61904761904761,103.33333333333334,67.72727272727273,149.68553459119497,162.56157635467977,8.51063829787234,13.513513513513514,69.17750000000001,21.296296296296298,16.71641791044776,53.333333333333336,13.661417322834646,15.226130653266333,4.849555555555556,11.120000000000001,13.047619047619047,15.194346289752652,7.8817733990147785,5.3896103896103895,1.592033195020747,5.330882352941176,4.848484848484848,4.5548961424332335,4.5813953488372094,4.429530201342282,4.885844748858448,5.0,6.00907029478458,6.222222222222221,,0.7580034712502098,1.6554166666666665,0.3996299722479186,0.28548994974874375,2.7019675925925926,1.0860206151426086,3.3234701425911286,1.3116460637605727,3.0480295566502456,0.8871392896781354,3.5440251572327046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,09SD,10,19K,220311.0,8178883.0,G&D,,Qz-diorite,-71.61936666535907,-16.455353337355838,09SD10,2,Caldera Jur,175.0,Mafic,nord,Qz-diorite,,0.710135,7.0,45.4,242.0,0.18760330578512396,18.760330578512395,0.52724973335,,0.7088231551204405,,,,,0.7042942349428035,64.30437667865885,115.88319088319032,,0.512456,8.0,3.06,15.5,0.19741935483870968,0.11939005852025805,175.0,0.5123192798548445,,0.512412747974116,-1.824078726397893,,63.3,16.3,5.13,1.96,2.01,5.31,1.66,<0.01,0.35,0.12,0.15,0.03,0.06,2.09,98.5,,<1,,512.0,,,,31.3,100.0,<10,0.6,80,2.54,1.69,0.86,16.9,2.88,,3.0,0.53,15.1,0.31,<2,3.4,34.0,15.5,<5,6.0,4.04,45.4,,3.06,1,242.0,0.2,0.42,6.7,<0.5,0.26,1.66,78.0,458.0,15.2,1.81,62.0,104.0,6.97,13780.158000000001,654.69,2098.25,,4.6159740000000005,,0.04987098054783644,0.06424816969629486,43.7007990693491,,17.0,,,28.57142857142857,75.66666666666667,77.57575757575758,84.27672955974843,81.7733990147783,5.1671732522796345,5.405405405405406,57.417325000000005,23.30246913580247,18.686567164179106,40.0,15.905511811023622,12.160804020100503,7.274333333333334,12.4,9.904761904761905,10.60070671378092,7.536945812807882,5.584415584415584,1.741286307053942,5.294117647058823,4.242424242424242,3.7685459940652817,3.5348837209302326,3.5570469798657722,3.8584474885844746,3.8235294117647056,4.104308390022676,4.592592592592593,,0.9181926980015409,1.314161220043573,0.22174359387266246,0.3040201005025126,3.0917655127894776,0.9702963017425187,3.4402274530547476,1.8363497809106495,2.0443349753694577,1.2898927526811828,5.677562922038059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,09SD,25,19K,214130.0,8182199.0,G&D,,Diorite,-71.67679764774435,-16.424678150714147,09SD25,10,Caldera J,175.0,Mafic,nord,Diorite,,0.7079,8.0,65.02,328.4,0.1979902557856273,19.79902557856273,0.5563185881924483,,0.7065158291884055,,,,,0.7042942349428035,31.543552898489757,84.04558404558449,,0.51234,11.0,4.69,21.12,0.22206439393939395,0.13429052697348484,175.0,0.512186216506061,,0.512412747974116,-4.420878851093546,,57.278,17.121,8.356,7.13,4.004,2.631,1.396,,0.735,0.172,0.18,,,1.812,100.815,,,4.543,300.0,1.148,0.11,0.133,41.47,78.89,20.88,3.724,101.6,3.977,2.268,1.08,18.74,4.221,1.598,3.585,0.796,18.86,0.375,0.678,2.743,27.43,21.12,10.95,9.3713,5.169,65.02,0.946,4.69,1.402,328.4,0.241,0.648,15.83,,0.35,2.266,228.7,314.9,23.26,2.348,97.14,125.6,4.026999999999999,11588.6148,785.628,4406.325,,7.5187288,,0.09934497816593885,0.10465062494780503,48.69956834831684,,11.381742738589212,,,177.33333333333334,108.36666666666666,45.45454545454546,199.11949685534591,111.62561576354679,4.168693009118541,6.513513513513514,48.285895,29.104938271604937,24.75820895522388,62.47533333333333,20.3503937007874,16.502512562814072,8.7292,16.896,11.961904761904762,12.667844522968199,11.551724137931034,7.012987012987013,3.656701244813278,7.759191176470588,6.545454545454545,5.9005934718100885,5.409302325581396,5.342281879194632,5.178082191780821,5.147058823529411,5.324263038548753,5.555555555555555,,1.1082460481551317,1.0355081734186213,0.1432297491998311,0.26414445001463094,2.519531969780726,0.5605961120152855,3.050765435086006,2.1696381366386652,1.786715009073663,1.4573267925142799,5.4664726481166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,09SD,27,19K,212740.0,8182498.0,G&D,,Qz-diorite,-71.68976566049125,-16.42181183488408,09SD27,3,Caldera J,175.0,Mafic,nord,Qz-diorite,,0.709474,7.0,67.97,262.1,0.2593285005723006,25.932850057230063,0.7287821105710568,,0.7076607243934051,,,,,0.7042942349428035,47.79947475894053,106.46723646723811,,0.512238,8.0,4.539,30.52,0.1487221494102228,0.08993558451749015,175.0,0.512135009798619,,0.512412747974116,-5.420204251259664,,64.8,16.481,4.437,2.62,2.666,3.456,2.901,,0.408,0.0771,0.137,,,2.265,100.247,,,1.889,977.1,1.392,< L.D.,< L.D.,85.73,87.24,7.388,1.383,43,2.504,1.434,1.04,17.28,3.242,1.332,2.8,0.471,44.5,0.277,0.801,4.78,47.800000000000004,30.52,6.161,9.818,8.964,67.97,0.294,4.539,1.197,262.1,0.465,0.445,12.48,,0.231,2.583,81.37,436.7,14.19,1.668,46.02,106.0,6.356999999999999,24082.0713,597.9502,2445.96,,3.9924126000000006,,0.06614728066693132,0.05556903098293573,54.34545277482008,,10.279569892473118,,,65.85714285714285,113.28333333333333,148.04545454545456,156.9811320754717,127.24137931034483,7.264437689969605,12.567567567567568,100.34196375,68.67283950617283,51.18208955223881,65.45333333333333,35.29133858267716,13.170854271356786,6.643891111111111,24.416,10.095238095238095,9.893992932862192,11.179802955665023,6.753246753246754,2.0298423236514522,5.959558823529411,4.494949494949495,3.71513353115727,3.3,3.1610738255033555,3.273972602739726,3.3970588235294117,3.782312925170068,4.103703703703704,,0.9822385415110049,0.9029889109201734,0.10578327242922032,0.20122511109223037,6.142580488985718,0.8105520557029178,3.991167961017208,2.9558112130984866,1.944001517269477,1.57563875370292,18.156308286703972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,09SD,30,19K,212554.0,8181895.0,G&D,,Diorite,-71.69158087912746,-16.427234623032103,09SD30,9,Caldera J,175.0,Mafic,nord,Diorite,,0.70859,8.0,55.12,347.2,0.1587557603686636,15.87557603686636,0.44610688508824886,,0.7074800458437013,,,,,0.7042942349428035,45.23409028268644,93.87464387464517,,0.512396,7.0,3.68,16.36,0.22493887530562348,0.13603064449095356,175.0,0.5122402238014545,,0.512412747974116,-3.366898527477069,,56.647,17.982,8.503,5.609,4.103,3.845,1.977,,0.743,0.1891,0.161,,,1.08,100.839,,,3.044,597.4,0.893,< L.D.,< L.D.,31.45,73.61,14.48,0.962,106.5,3.312,1.947,0.982,18.51,3.422,1.527,2.213,0.686,14.43,0.328,0.67,2.332,23.32,16.36,8.539,8.8247,3.964,55.12,0.54,3.68,1.149,347.2,0.191,0.543,14.65,,0.3,2.293,221.9,293.8,19.99,2.079,91.59,75.24,5.822,16411.6701,702.7006,4454.285,,7.650999400000001,,0.10180131004366812,0.1064916543718509,48.87409919453013,,12.209424083769633,,,45.8095238095238,91.86666666666666,90.51515151515152,184.27672955974842,112.95566502463053,3.544072948328267,5.162162162162162,68.38195875,22.26851851851852,18.776119402985074,58.83133333333333,15.606299212598424,17.44723618090452,7.807784444444445,13.088,7.1657142857142855,7.819787985865726,9.064039408866995,6.376623376623376,3.6965020746887967,6.290441176470588,5.484848484848485,4.913946587537091,4.648837209302325,4.604026845637584,4.445205479452055,4.411764705882352,4.714285714285714,4.859259259259259,,1.0423523064472617,0.7905652173913044,0.1591517165985251,0.29656367096169595,2.4567985104669887,0.6129676020107937,3.7530322950419936,1.9226750261233019,1.9199915865349055,1.3343360071301247,4.723625140291807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,09SD,37,19K,210214.0,8175665.0,G&D,,Gab-diorite,-71.71425717682169,-16.48320838981805,09SD37,6,"Caldera J 184,8",184.8,Mafic,nord,Gab-diorite,,0.707159,8.0,28.2,294.8,0.09565807327001356,9.565807327001357,0.26876301754253734,,0.7064527966498495,,,,,0.7042826969737449,30.812906314883204,73.4900284900286,,0.512428,6.0,4.713,21.59,0.21829550717924967,0.13201410650289952,184.8,0.5122683523519914,,0.5124001262363913,-2.5716989058488515,,54.408,17.999,8.54,9.276,3.299,3.303,0.976,,0.868,0.1575,0.217,,,1.118,100.161,,,2.457,186.5,0.88,< L.D.,0.139,41.54,71.23,16.52,2.392,14.87,3.747,2.182,1.27,20.49,4.194,1.387,3.329,0.75,19.2,0.355,1.267,2.755,27.549999999999997,21.59,14.14,11.6668,5.288,28.2,1.045,4.713,1.449,294.8,0.228,0.628,10.34,,0.34,1.991,266.9,278.1,22.09,2.282,103.2,120.7,4.279,8102.0688,947.1182,5203.66,,7.684291999999999,,0.08185291782453354,0.10695504273028421,43.35247178350231,,12.083333333333332,,,113.9047619047619,47.0,28.257575757575758,130.062893081761,98.07881773399015,4.18693009118541,6.162162162162162,33.75862,29.629629629629626,24.799999999999997,77.77866666666667,20.818897637795278,14.814070351758795,10.523535555555556,17.272,11.495238095238095,11.763250883392228,11.608374384236452,8.246753246753247,4.3183900414937755,7.709558823529411,6.343434343434343,5.559347181008902,5.137209302325582,5.033557046979866,4.981735159817352,5.0,5.174603174603175,5.259259259259259,,1.0743523693360761,0.9902539076313743,0.1413088905775076,0.19046444207184654,2.552435737243715,0.7540876218425743,2.8836805121123956,2.243336154008885,1.2609989594489082,1.4898840671237819,5.7259713701431485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,09SD,39,19K,210256.0,8175390.0,G&D,,Diorite,-71.71389872454253,-16.485696686783907,09SD39,8,"Caldera J 184,8",185.0,Mafic,nord,Diorite,,0.706297,8.0,70.63,426.3,0.1656814449917898,16.56814449917898,0.46546247013889974,,0.7050726225753299,,,,,0.70428246148827,11.219377597309066,61.21082621082685,,0.51251,6.0,4.437,19.64,0.2259164969450102,0.1366255622909878,185.0,0.51234459669163,,0.5123998686414839,-1.0786878224700036,,61.312,16.687,6.518,6.044,2.737,3.107,2.294,,0.635,0.1143,0.203,,,0.998,100.649,,,1.398,745.5,1.15,< L.D.,0.16,33.99,76.16,8.712,3.997,41.87,3.467,2.076,1.109,18.55,3.818,1.667,4.577,0.707,14.81,0.353,0.354,4.408,44.080000000000005,19.64,7.238,12.0236,4.563,70.63,0.514,4.437,1.009,426.3,0.413,0.586,7.762,,0.323,1.893,139.8,364.8,20.72,2.256,69.84,168.6,5.401,19043.1822,886.0138000000002,3806.8250000000003,,5.8648964,,0.06790889241762604,0.08163149514238788,45.411740283455316,,10.67312348668281,,,190.33333333333331,117.71666666666667,112.95454545454547,97.63522012578616,93.2512315270936,6.699088145896657,11.162162162162161,79.3465925,22.85493827160494,20.292537313432838,80.15733333333334,17.964566929133856,21.422110552763822,9.84459777777778,15.712,16.057142857142857,16.17314487632509,10.928571428571429,7.201298701298701,3.1591908713692947,7.018382352941176,5.919191919191919,5.143916913946588,4.818604651162791,4.74496644295302,4.739726027397261,4.75,5.115646258503401,5.229629629629629,,1.0055263116358357,1.4692810457516339,0.2931133773491582,0.26725078869178726,2.091301541192609,0.9550982873491292,4.445708271085156,2.136303191489362,1.1633524675691171,1.3719444227158948,4.467654156816391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,09SD,40,19K,210260.0,8174992.0,G&D,,Diorite,-71.71391139998887,-16.48929103318899,09SD40,7,Caldera J 188,188.0,Mafic,nord,Diorite,,0.707631,10.0,81.33,323.3,0.25156201670275286,25.156201670275287,0.7068271958435167,,0.7057415331798131,,0.7050726225753299,,,0.7042789291258906,20.767397595407022,80.21367521367617,,0.512425,6.0,4.285,19.23,0.22282891315652625,0.1347555854652886,188.0,0.5122592134144827,,0.5123960046774413,-2.669639530946677,,56.122,17.154,9.042,7.355,4.177,2.885,1.915,,0.825,0.1692,0.195,,,0.849,100.688,,,3.227,325.3,0.699,< L.D.,< L.D.,36.68,71.79,13.71,5.169,96.82,3.461,2.045,1.14,19.2,3.792,1.524,3.144,0.702,16.77,0.337,0.79,2.678,26.78,19.23,11.58,11.5008,4.656,81.33,0.898,4.285,1.535,323.3,0.23,0.581,10.91,,0.311,1.524,249.3,254.6,20.36,2.151,111.4,106.9,4.8,15896.989500000001,851.097,4945.875,,8.1359916,,0.10363735609368796,0.11324209559335245,47.785696287741395,,11.643478260869564,,,246.1428571428571,135.55,49.28787878787879,137.23270440251574,75.07389162561576,4.069908814589666,6.216216216216217,66.23745625000001,25.87962962962963,21.898507462686567,76.672,18.330708661417322,16.246231155778897,9.456633333333333,15.384,10.180952380952382,11.109540636042404,10.554187192118226,7.402597402597402,4.104460580912863,6.970588235294117,5.868686868686868,5.135014836795252,4.734883720930233,4.7114093959731544,4.668949771689498,4.573529411764706,4.877551020408163,4.992592592592593,,1.0527854686316627,0.9646363282769352,0.1572630239626776,0.21189262254511293,2.45207225895674,0.5470553972719021,3.431178485748981,2.163829173279469,0.9791565581387698,1.4291164164410535,5.305865488919883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,09SD,73,19K,226123.0,8181001.0,G&D,,Diorite,-71.56472417225258,-16.436898965918115,09SD73,4,,195.9,Mafic,nord,Diorite,,,,,,,,,,,,,,,,,,,,,,,,,195.9,,,,,,60.1,14.5,5.95,4.33,2.28,2.68,2.97,<0.01,0.77,0.09,0.14,0.05,0.08,0.98,94.9,,<1,,648.0,,,,61.6,12.8,10,2.31,19,4.23,2.72,1.04,15.0,4.64,,9.1,0.91,29.5,0.43,<2,6.7,67.0,26.9,8,37.0,7.01,91.1,,5.57,1,344.0,0.4,0.69,18.6,<0.5,0.41,2.26,160.0,2.0,26.1,2.75,58.0,333.0,5.65,24654.861000000004,611.0440000000001,4616.150000000001,,5.35381,,0.056570067487098044,0.07451785763995211,43.15429314505547,,16.75,,,110.0,151.83333333333334,98.18181818181819,233.9622641509434,111.33004926108372,10.182370820668693,10.810810810810812,102.72858750000002,45.52469135802469,36.776119402985074,246.66666666666669,27.598425196850393,17.286432160804022,6.789377777777779,21.52,31.714285714285715,32.15547703180212,13.719211822660098,6.753246753246754,3.8308298755186727,8.52941176470588,6.969696969696969,6.275964391691395,6.069767441860466,6.107382550335571,6.210045662100457,6.029411764705881,6.235827664399093,6.37037037037037,,1.0064364715403291,2.311669658886894,0.2236669929421462,0.07008013038163792,3.318316820710597,0.47584617829334164,2.8479562563776737,2.200062695924765,0.45133803754493396,1.367807486631016,7.300505050505051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,09SD,83,19K,204938.0,8194959.0,G&D,,Qz-diorite,-71.76117507258631,-16.30834633539424,09SD83,1,,178.1,Mafic,nord,Qz-diorite,,,,,,,,,,,,,,,,,,,,,,,,,178.1,,,,,,64.0,16.0,4.1,4.91,1.48,2.93,1.98,<0.01,0.38,0.08,0.13,0.05,0.09,1.4,97.5,,<1,,769.0,,,,58.9,8.5,10,1.85,10,2.85,1.81,1.22,16.1,3.34,,3.4,0.59,29.7,0.33,<2,6.5,65.0,24.5,<5,10.0,6.55,60.0,,4.37,2,431.0,0.4,0.47,7.49,<0.5,0.29,1.12,85.0,5.0,17.4,2.02,31.0,116.0,4.91,16436.574,567.398,2278.1,,3.68918,,0.03672092100039698,0.05134843971828633,41.69545537828219,,16.25,,,88.09523809523809,100.0,116.51515151515152,94.21383647798743,55.172413793103445,9.878419452887538,10.810810810810812,68.485725,45.83333333333333,35.16417910447761,66.66666666666667,25.787401574803148,21.658291457286435,6.304422222222223,19.6,11.047619047619047,12.014134275618375,10.763546798029557,7.922077922077922,1.890539419087137,6.13970588235294,4.747474747474747,4.228486646884273,4.046511627906977,3.959731543624161,4.132420091324201,4.26470588235294,4.580498866213152,4.888888888888888,,0.9231498075623584,1.0263920671243325,0.21552915169936449,0.3248743718592965,4.258199847444698,0.5856083974034344,5.352336394616763,2.3498634346193237,0.8275862068965516,1.340401135701805,10.00618811881188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
