,locality,sample,lithology,sio2,al2o3,fe2o3_tot,mno,mgo,cao,na2o,k2o,tio2,p2o5,loi,total,sc_ppm,be_ppm,v_ppm,ba_ppm,sr_ppm,y_ppm,zr_ppm,cr_ppm,co_ppm,ni_ppm,cu_ppm,zn_ppm,ga_ppm,as_ppm,rb_ppm,nb_ppm,sn_ppm,cs_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,hf_ppm,ta_ppm,w_ppm,th_ppm,u_ppm,age,age_error,latitude,longitude,source_study
0,Mencué Granodiorite,J35,Migmatite,72.71,14.15,3.05,0.03,0.76,2.61,3.58,1.33,0.36,0.03,0.83,99.44,6,2,44,137,295,6,197,30,4,20,10,60,21,5,66,12,1,2.5,20,39.9,4.8,17.1,3.4,1.2,2.4,0.3,1.4,0.2,0.6,0.1,0.6,0.1,5.1,0.6,1,6.6,0.5,284.8,1.3,-40.133,-69.783,Gregori++2021
1,Mencué Granodiorite,M17,Grey granodiorite,69.53,15.22,3.35,0.06,1.02,2.61,3.55,3.31,0.42,0.2,0.71,99.98,5,4,51,841,459,13,136,14,4,18,12,80,22,4,120,9,4,5.7,49,94.7,12.4,45.6,8.9,1.5,5.5,0.7,3,0.5,1.3,0.2,1,0.1,4.1,0.8,0.8,15.2,0.9,284.8,1.3,-40.167,-69.75,Gregori++2021
2,Mencué Granodiorite,J63,Grey granodiorite,70.64,14.27,1.91,0.03,0.43,2.05,3.24,4.12,0.18,0.2,0.92,97.99,3,3,20,1212,452,7,114,20,2,20,10,40,21,5,94,6,2,2.2,70.5,143,16.6,57.8,9.6,1.7,5,0.5,2,0.3,0.7,0.1,0.5,0.1,3.3,0.6,4,20.9,1,284.8,1.3,-40.167,-69.75,Gregori++2021
3,Mencué Granodiorite,J46,Grey granodiorite,81.85,7.31,4.53,0.04,0.99,0.72,1.45,2.34,0.79,0.03,0.64,100.69,8,1,58,862,163,8,331,30,6,16,10,80,13,3,78,14,3.2,82.7,42.2,82.7,10.4,37.2,6.6,0.82,4.3,0.5,2.2,0.3,0.8,0.1,0.6,0.09,9.6,1.2,0.9,15.6,1.5,284.8,1.3,-40.167,-69.75,Gregori++2021
4,Mencué Granodiorite,J22,Grey granodiorite,66.27,15.21,4.61,0.08,1.64,3.15,3.29,2.89,0.52,0.13,1.87,99.66,11,2,82,684,255,17,133,18,10,17,9,80,17,3,130,8,3,4.4,25.9,46.3,5.7,20,4,0.92,3.3,0.5,3.1,0.6,1.7,0.25,1.8,0.28,4,0.8,1,6.2,0.5,284.8,1.3,-40.167,-69.75,Gregori++2021
5,Mencué Granodiorite,J27,Grey granodiorite,66.25,14.84,4.52,0.04,1.53,3.51,3.05,2.67,0.5,0.11,1.57,98.59,10,2,74,743,300,15,120,19,8,18,30,40,17,5,111,7,3,11.2,24.4,44.9,5.43,18.8,3.8,0.89,3.1,0.5,2.9,0.6,1.6,0.24,1.6,0.27,3.6,0.8,2,15.6,3.1,284.8,1.3,-40.167,-69.75,Gregori++2021
6,Mencué Granodiorite,Q29,Pink to white granodiorite,70.71,16,2.84,0.03,0.76,2.58,4.66,1.54,0.3,0.03,1.49,100.94,4,2,33,349,696,5,337,20,4,20,10,60,20,5,64,7,1,5.6,42.9,80,9,30.8,4.8,1.4,2.7,0.3,1.3,0.2,0.5,0.1,0.6,0.1,8.2,0.3,1,19.5,2.5,273,1.2,-40.767,-69.9,Gregori++2021
7,Mencué Granodiorite,J40,Pink to white granodiorite,63.43,17.68,5.3,0.08,2.11,4.22,3.25,2.29,1.07,0.04,1.01,100.48,7,2,180,1012,661,4,209,17,10,18,8,100,23,4,96,7,6.5,6.4,24.3,44.8,5.45,18.4,2.9,1.39,1.7,0.2,1.1,0.2,0.6,0.09,0.6,0.11,6,0.2,1,42.91,25.16,273,1.2,-40.767,-69.9,Gregori++2021
8,Mencué Granodiorite,M22,Pink to white granodiorite,72.5,15.02,1.73,0.02,0.34,2.85,3.63,2.04,0.13,0.07,0.65,98.98,2,1,4,1278,649,5,75,19,1,17,9,50,18,5,53,3,1,3.1,28.6,53.5,6.7,23.7,4,1.3,2.3,0.2,1.1,0.2,0.6,0.1,0.5,0.1,2.4,0.2,6,7.8,1.1,273,1.2,-40.767,-69.9,Gregori++2021
9,Cura Lauquén Granite,J43,Graniite,62.09,16.76,6.6,0.07,2.48,4.5,2.46,2.62,0.88,0.29,1.21,99.96,15,3,122,759,435,17,197,20,11,30,20,120,23,5,129,14,3,7,22.3,47.4,6,23.6,5.4,1.4,4.7,0.7,3.7,0.7,1.8,0.3,1.5,0.2,4.6,0.8,1,5.6,0.8,264,1.8,-40.267,-69.917,Gregori++2021
