,sample,rock type,locality,lat.,long.,n°of spots,mswd,age_x,95% c.l.,method,lithology,age group,age,sio2,tio2,al2o3,fe2o3,feo,mno,mgo,cao,na2o,k2o,p2o5,so3,f_ppm,total,la_ppm,pr_ppm,ce_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,dy_ppm,ho_ppm,tm_ppm,er_ppm,yb_ppm,lu_ppm,sc_ppm,y_ppm,zr_ppm,nb_ppm,ta_ppm,ga_ppm,rb_ppm,sr_ppm,ba_ppm,th_ppm,hf_ppm,u_ppm,ti ,longitude,latitude
0,F00345A,Gabbro,Puerto Henry,53°25.23',72°35.63',6 of 8,1.7,156.9,3,SHRIMP,Gabbro,J,156.7,54.158,0.399,23.54,3.323,,0.062,2.675,11.097,4.289,0.123,0.109,0.017,0.1,99.89199999999998,66.01030015613178,13.534352529759797,122.7686647700341,48.74958403901851,8.49500462395785,1.2355857809866206,6.835382981199599,5.824829314611221,1.183693942430414,0.48290555472282093,3.3055756419580486,3.3501311799886566,0.5051130426062749,20.016943420266422,33.66359865784115,291.41449826170697,13.020917628323133,0.815841432824257,20.073192624196324,1.7,848.0665366982348,76.19125730398483,22.22486325000852,6.850235408563534,1.3914295395721068,2487.389879208472,-72.59383333333334,-53.4205
1,F00415,Granodiorite,Seno Andrés,50°32.11',73°53.80',6 of 8,0.65,155.5,2,SHRIMP,Granodiorite,J,155.5,71.606,0.336,13.787,3.701,,0.067,0.569,2.979,3.28,2.636,0.073,0.019,0.054,99.10699999999999,35.85110693288811,7.389375866634225,66.98564626939672,27.074287692933726,5.224033938971332,0.9627106238857855,4.532374379016736,4.515324464670651,0.9315072128542954,0.4198251396018065,2.828519773820876,2.836660602284073,0.42909068253379834,12.804330648274151,28.033382488172382,150.50859380744222,7.836057462905731,0.6797086610979935,15.59179982845636,120.6,144.27472326595833,607.9155059345503,15.659060744896871,4.127498932456748,1.7725872201129518,1997.4643684340456,-73.89666666666666,-50.53516666666667
2,F00015,Massive Rhyolite,Fiordo Peel,50°32.411',73°43.156,11 of 15,1.4,152,2,SHRIMP,Rhyolite,J,152.0,74.715,0.061,12.688,1.22,,0.018,0.262,1.204,3.685,3.017,0.02,0.102,0.053,97.045,19.146680517573046,5.348937614322761,42.20540859040783,21.593858188359366,5.8614103525841275,0.4203999970067288,5.650661139135113,6.070578277061758,1.2198587777930006,0.5651205015204555,3.7125459312425098,3.7564733801597754,0.5655536309099416,9.988331042079505,37.41291971682992,88.88568307889474,11.197382961559464,1.0496581659182596,15.920316708570997,110.1,208.37557451658324,872.8187543628452,15.037814689518871,3.862422401733357,3.772760463988951,385.9645568289007,-73.71916666666667,-50.54018333333333
3,F00105,Granite,Pen Staines,51°31.98',73°48.84',5 of 9,0.64,152,2,SHRIMP,Granite,J,152.0,75.817,0.023,13.311,0.95,,0.023,0.049,0.656,3.66,4.978,0.018,0.022,0.032,99.53899999999999,14.085794391569978,4.222537048051363,31.916951982131838,17.837505157172682,5.979958109915668,0.22210287299566026,6.685905630462911,8.340479167113397,1.7090994968553677,0.7823574528455809,5.198596191517981,5.442636268071759,0.8051851147111527,5.2537626080732736,52.761679574320944,60.66356594755211,11.313511086687404,1.4892875552784546,15.80333414680438,334.3,38.471064890309655,259.7550603259732,15.268034053894468,3.0842649187656437,3.2376148332474766,159.58783433868393,-73.814,-51.533
4,F00410,Granodiorite,Puerto Polcos,50°31.92',73°56.73',8 of 8,1,151,1,SHRIMP,Granodiorite,J,151.0,72.673,0.195,13.583,2.049,,0.034,0.357,2.156,3.115,3.82,0.046,0.018,0.05,98.096,31.496789776297124,7.162784899578407,62.45644714958422,26.661134580316926,5.4015354301805285,0.808882994023812,4.81880539211868,4.687650184897,0.945556326631019,0.41390808073217566,2.8494091865117817,2.7228414819127367,0.4165697295064553,8.907625028462398,28.519165781260604,144.39082474085637,7.490919196704995,0.6320135584082345,14.796477548752149,142,112.11950757937001,582.6850705738775,13.449877861738551,4.163593214323795,1.970885782601997,1215.2559088386618,-73.9455,-50.532
5,F00009,Foliated Granite,Fiordo Peel,50°40.13',73°46.48',11 of 16,1.19,150.1,1,SHRIMP,Granite,J,150.1,73.504,0.099,12.619,1.456,,0.019,0.492,0.754,2.859,4.468,0.025,0.016,0.006,96.31700000000004,30.167274458899737,7.106194583125649,60.523759411430746,26.806542866628334,6.257361368074806,0.5947111339586015,5.824605359597793,6.1644576286487895,1.3163841635370699,0.5904530994789664,3.8163534211815566,3.7897963879557683,0.5551086032417687,8.433993544775126,39.02215700785218,92.748516600768,9.485401426588448,0.8931095840347932,15.585284894949533,,66.98937214727079,723.7582360125307,13.566463874184212,3.1114140850923184,2.106169495072146,630.508602574346,-73.77466666666666,-50.66883333333333
6,F00004,Granite,Fiordo Peel,50°47.89',73°54.21',15 of 16,1.3,149.5,1,SHRIMP,Granite,J,149.5,77.333,0.047,12.237,0.896,,0.009,0.054,0.59,4.006,3.846,0.011,0.018,0.015,99.062,11.153874244568376,3.4956735556044936,25.380550444427875,14.898456715342899,4.7948754330116365,0.41939537069858646,5.406155400427538,5.976680309603325,1.242486487613466,0.5559534498941212,3.6142521211964196,3.829514663930463,0.5562028041403412,8.67042805158917,36.146325223331864,98.19683069219307,10.147239999027901,0.9926969461917224,14.893552867802697,152.1,75.37729364474944,606.6597127898701,14.362370267920392,4.45020327364764,3.8189813394784,290.3461712473126,-73.9035,-50.79816666666667
7,F00054,Granite,Peninsula Muñoz G,52°15.37',73°35.38',12 of 15,1.5,149.3,1,SHRIMP,Granite,J,149.3,75.327,0.184,12.763,1.99,,0.038,0.256,1.504,2.968,4.084,0.044,0.027,0.088,99.273,20.260755912089977,4.74973911155186,40.703399871600936,18.22877591254026,4.088784265355059,0.6376245506709424,3.74436866122319,4.019991298382266,0.8160410098879916,0.385865476923459,2.5351153472249304,2.6253133412462475,0.3897979305100477,6.715483621290498,25.003970673429766,150.62217275685663,8.104859818480405,0.7827703336416905,14.487008354375275,156.2,102.94394652575329,756.0855890225325,11.415109209967602,4.461933441620528,2.22755239286132,1031.9327429629827,-73.58966666666667,-52.256166666666665
8,F00407A,Granite,Seno Andres,50°27.87',74°10.96',7 of 8,0.65,148.8,2,SHRIMP,Granite,J,148.8,74.582,0.051,13.144,1.178,,0.033,0.07,1.03,3.524,4.672,0.017,0.016,0.066,98.383,9.490278958855793,3.135598601715828,21.426992683977453,14.000238270769785,3.9806988113883888,0.8349887918039023,4.386974382801561,5.183251595043128,1.0955921720738042,0.5174889464903362,3.46276679498536,3.632481498991189,0.5403242441889757,63.123734956514205,33.27158858172983,41.70100976825404,3.669518168744299,0.24346478605388802,19.147401150901874,237.5,276.1930028356602,124.82886284864968,2.204101942115241,1.391755642246279,0.564942576326238,2986.0548034769336,-74.18266666666666,-50.4645
9,F00416,Diorite,Seno Andrés,50°33.46',73°52.62',3 of 8,0.28,148.8,2,SHRIMP,Diorite,J,148.8,56.436,1.03,15.116,10.521,,0.179,3.751,7.36,2.31,1.281,0.175,0.02,0.034,98.21300000000001,16.34809533422553,4.606543951296147,34.78641865628171,19.251411740587102,4.64536027958018,1.1589728495653666,4.707984394043224,5.040608030127811,1.0367028909368252,0.4435252911387537,3.0849995714569802,3.0281292625339504,0.45677579729903695,36.820424464283924,30.18327490172489,148.17170843614724,7.264709046932756,0.4612657669533241,16.754035443267156,62.7,184.4319212000878,251.84246986150663,3.3909729174066228,3.491261070196598,0.8677694801634241,6485.60357100813,-73.877,-50.55766666666667
