,sample,longitude,latitude,elevation _m.a.s.l._,lithology,"geological unit, locality",age _ma_,dating method,mineral,reference,unnamed: 10,age group,unnamed: 12,feo,sio2,al2o3,fe2o3,mno,mgo,cao,na2o,k2o,tio2,p2o5,cr2o3,loi,tot/c,tot/s,total,unnamed: 29,sc_ppm,be_ppm,v_ppm,cr_ppm,co_ppm,ni_ppm,cu_ppm,zn_ppm,ga_ppm,ge_ppm,as_ppm,rb_ppm,sr_ppm,y_ppm,zr_ppm,nb_ppm,mo_ppm,ag_ppm,in_ppm,sn_ppm,sb_ppm,cs_ppm,ba_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,hf_ppm,ta_ppm,w_ppm,tl_ppm,pb_ppm,bi_ppm,th_ppm,u_ppm,s_ppm,hg_ppm,li_ppm,se_ppm,cd_ppm,au_ppm,ti_ppm,unnamed: 82,sree_ppm,_la/yb_n,_la/sm_n,_gd/yb_n,eu/eu*,age_ma,age_ma_error
0,10VDL44,-72.71638888888889,7.344444444444444,3023,Orthogneiss,"Santander Massif, Berlin orthogneiss",473.5 ± 2.5,U-Pb (LA-ICP-MS),Zircon,Van der Lelij et al. (2016),,Early Pz orogenic and peak metamorphic granitoids (ca. 485 - 472 Ma),,,73.03,13.26,2.78,0.06,0.74,1.6,1.94,5.0,0.53,0.12,,0.97,,,100.03,,12.2,3.47,42,17,6.34,9.28,4.92,34,15.35,,3.98,188.01,93.0,67.31,240.9,13.89,0.27,,,,,2.94,651.87,39.29,76.97,8.91,35.79,7.59,1.21,7.68,1.35,9.88,2.31,7.27,1.18,8.1,1.22,6.77,1.31,11.73,,27.5,0.14,18.33,2.64,61,,,,,,,,208.75,3.2951450747512636,3.2326123091120342,0.6441006407251134,0.47825510908403257,473.5,2.5
1,10VDL47*,-72.69555555555556,7.473055555555556,2615,Gabbrodiorite,"Santander Massif, Unnamed",483.7 ± 5.9,U-Pb (LA-ICP-MS),Zircon,Van der Lelij et al. (2016),,Early Pz orogenic and peak metamorphic granitoids (ca. 485 - 472 Ma),,,55.45,16.23,7.83,0.14,6.36,8.68,2.05,1.13,1.19,0.11,,0.57,,,99.73999999999998,,29.09,1.89,168,258,32.16,69.88,52.29,69,16.52,,1.13,57.54,102.2,27.77,103.45,6.29,0.2,,,,,2.32,153.88,15.57,32.4,3.9,16.99,4.36,1.13,4.39,0.77,4.95,1.11,2.88,0.44,2.78,0.38,2.96,0.51,0.77,,5.06,0.1,6.37,1.24,976,,,,,,,,92.04999999999998,3.804708132228395,2.2300545813494366,1.0727468657985004,0.7791592034065711,483.7,5.9
2,10VDL50*,-72.89583333333333,7.256111111111111,3710,Paragneiss,"Santander Massif, Migmatite from paragneiss",477.0 ± 5.3,U-Pb (LA-ICP-MS),Zircon,Van der Lelij et al. (2016),,Early Pz orogenic and peak metamorphic granitoids (ca. 485 - 472 Ma),,,75.67,12.86,1.58,0.04,0.3,1.17,2.34,5.43,0.24,0.05,,0.37,,,100.05000000000001,,5.66,2.07,15,17,1.73,4.29,4.62,21,14.07,,1.25,166.8,124.9,45.96,173.38,8.36,n.d.,,,,,1.35,578.45,45.83,85.79,9.27,36.08,7.19,0.87,7.14,1.15,7.81,1.58,4.56,0.68,4.75,0.66,5.29,0.63,0.11,,22.48,n.d.,29.88,3.93,16,,,,,,,,213.36000000000004,6.554412613813013,3.980469827409141,1.0211325782811458,0.3659209865273348,477.0,5.3
3,10VDL51,-72.89666666666666,7.254722222222222,3707,Orthogneiss,"Santander Massif, Berlin orthogneiss",472.5 ± 3.4,U-Pb (LA-ICP-MS),Zircon,Van der Lelij et al. (2016),,Early Pz orogenic and peak metamorphic granitoids (ca. 485 - 472 Ma),,,72.67,13.84,3.53,0.07,0.95,1.87,3.94,1.94,0.49,0.09,,0.77,,,100.16,,11.43,2.87,51,19,5.66,9.68,2.33,33,16.22,,0.87,94.86,167.03,49.18,206.81,10.84,0.22,,,,,1.64,175.76,39.15,75.51,8.48,34.84,7.33,1.17,6.5,1.19,7.87,1.7,5.03,0.73,5.24,0.78,5.75,0.84,0.33,,8.37,0.04,17.53,3.02,105,,,,,,,,195.52,5.075490385544497,3.335348058093149,0.8426740103713725,0.5056926791718579,472.5,3.4
4,KD-WR-194*,-72.891445,7.387185,3128,Granite - granodiorite,Santander Massif,462.5 ± 13.1,U-Pb (LA-ICP-MS),Zircon,Leal-Mejía (2011),,Early Pz post-orogenic granitoids (ca. 465 - 439 Ma),,4.95,69.82,13.36,0.17,0.019,0.82,0.11,0.21,4.3,0.455,0.17,,4.36,,,98.74399999999999,,16.0,4,201,100,18,< 20,80,100,21,6.8,406,228,224.0,42.7,115,7.7,23,2.4,< 0.1,2,10.7,1.6,565.0,34.5,63.2,6.55,24.7,5.81,1.29,6.42,1.23,7.71,1.45,4.11,0.614,3.84,0.55,3.4,1.26,33.5,6.07,159,36.8,10.2,26.4,,,,,,,,,161.974,6.103309599156119,3.708141789581473,1.1357463080168777,0.6407602554754822,462.5,13.1
5,KD-WR-195*,-72.891445,7.387185,3128,Granite - granodiorite,Santander Massif,460.0 ± 8.9,U-Pb (LA-ICP-MS),Zircon,Leal-Mejía (2011),,Early Pz post-orogenic granitoids (ca. 465 - 439 Ma),,2.54,68.47,10.87,3.13,0.008,0.32,0.13,0.19,3.22,0.473,0.32,,10.42,,,100.09099999999998,,6.0,3,218,160,17,< 20,170,270,16,7.2,338,91,415.0,11.9,57,4.8,30,6.4,< 0.1,< 1,9,0.8,570.0,17.0,33.1,3.84,16.9,4.51,0.969,3.33,0.43,2.29,0.42,1.22,0.198,1.3,0.194,1.8,0.92,72.6,7.98,347,17.8,11.2,29.5,,,,,,,,,85.70100000000001,8.883479389808503,2.3538877506151357,1.7401168451801363,0.7291926387411328,460.0,8.9
6,10VDL23*,-72.96666666666667,6.9430555555555555,2055,Gneiss,Santander Massif,461.0 ± 2.1,U-Pb (LA-ICP-MS),Zircon,Van der Lelij et al. (2016),,Early Pz post-orogenic granitoids (ca. 465 - 439 Ma),,,54.99,15.62,4.97,0.08,7.73,7.21,3.1,2.71,0.8,0.53,,1.41,,,99.14999999999998,,18.27,2.87,132,489,27.5,218.92,67.22,59,18.11,,2.4,102.37,1250.6,14.34,554.83,8.56,0.4,,,,,1.14,1701.08,48.3,93.84,11.02,45.06,7.11,1.87,4.67,0.59,2.87,0.5,1.31,0.18,1.24,0.19,13.25,0.45,0.43,,11.99,0.19,6.8,2.36,138,,,,,,,,218.75000000000003,26.46080032666394,4.242197653509942,2.5584252075677147,0.9289863259965381,461.0,2.1
7,10VDL37,-72.97805555555556,7.19,1712,Orthogneiss,"Santander Massif, Berlin orthogneiss",451.5 ± 1.3,U-Pb (LA-ICP-MS),Zircon,Van der Lelij et al. (2016),,Early Pz post-orogenic granitoids (ca. 465 - 439 Ma),,,62.31,18.04,4.16,0.07,2.03,5.24,3.51,1.68,0.6,0.17,,1.84,,,99.64999999999999,,10.28,2.88,79,25,11.12,16.28,4.8,64,20.22,,1.45,60.29,626.01,9.62,158,4.26,0.15,,,,,1.16,524.77,25.67,44.54,4.74,18.68,3.26,0.98,2.41,0.36,1.91,0.35,0.93,0.12,0.9,0.11,3.72,0.29,0.28,,7.73,0.06,4.08,1.17,109,,,,,,,,104.96000000000001,19.37585560243788,4.917242628976729,1.8190811064228787,1.0197998605992467,451.5,1.3
8,10VDL46*,-72.66527777777777,7.2747222222222225,2458,Granite,"Santander Massif, Pamplona granite",439.2 ± 4.7,U-Pb (LA-ICP-MS),Zircon,Van der Lelij et al. (2016),,Early Pz post-orogenic granitoids (ca. 465 - 439 Ma),,,79.51,11.96,1.22,0.04,0.3,0.17,0.2,4.82,0.16,0.12,,1.73,,,100.23,,4.06,6.69,8,13,1.9,7.28,2.06,29,19.03,,2.56,374.53,27.52,10.84,79.86,8.15,0.43,,,,,18.33,299.04,7.08,25.92,1.61,6.53,1.38,0.36,1.51,0.31,1.76,0.37,1.0,0.16,1.08,0.17,2.24,1.96,1.84,,17.99,1.13,7.88,3.46,37,,,,,,,,49.239999999999995,4.453352086263479,3.2038158136121817,0.9497968432567588,0.7561750638215629,439.2,4.7
9,10VDL55,-73.07527777777777,8.052777777777777,1506,Granodiorite,Tarra granodiorite,443.4 ± 3.2,U-Pb (LA-ICP-MS),Zircon,Van der Lelij et al. (2016),,Early Pz post-orogenic granitoids (ca. 465 - 439 Ma),,,63.11,16.02,5.5,0.11,2.05,3.08,2.64,4.4,0.95,0.34,,1.41,,,99.61,,13.98,4.61,104,34,10.62,20.04,16.86,92,20.38,,1.93,163.57,333.17,29.73,297.46,16.66,0.32,,,,,6.86,1150.66,61.35,114.53,12.32,48.64,8.64,1.88,6.0,0.94,5.58,1.13,2.88,0.44,3.06,0.42,7.21,1.17,0.5,,15.19,0.08,10.91,2.39,n.d.,,,,,,,,267.80999999999995,13.619798130222554,4.434188935771214,1.3320095970877803,0.7543853453560289,443.4,3.2
