,locality,sample,lithology,sio2,tio2,al2o3,fe2o3_tot,mno,mgo,cao,na2o,k2o,p2o5,loi,total,sc_ppm,be_ppm,v_ppm,cr_ppm,zn_ppm,rb_ppm,sr_ppm,y_ppm,zr_ppm,nb_ppm,cs_ppm,ba_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,hf_ppm,ta_ppm,pb_ppm,th_ppm,u_ppm,eu/eu*,ba/ce,la/ta,sm/yb,ni_ppm,cu_ppm,ga_ppm,ge_ppm,tl_ppm,longitude,latitude,age_ma
0,Caleufú river,DP09,Andesite,56.68,1.297,16.29,7.08,0.128,2.94,5.56,4.81,1.05,0.4,4.51,100.7,16,2,126,20,80,24,549,18.8,155,10.9,0.7,288,21.8,46.2,5.54,23.2,4.9,1.49,4.44,0.7,3.92,0.77,2.06,0.265,1.98,0.28,3.7,0.83,11,3.82,1.11,0.986,6.23,26.7,2.47,,,,,,-71.224,-40.477,45.0
1,Meliquina lake,DP12,Basalt,54.85,0.943,17.49,6.82,0.09,3.4,7.46,3.26,0.93,0.27,4.19,99.69,16,1,143,100,50,14,644,20.5,190,9.5,0.8,625,24.9,52,6.43,25,4.91,1.36,4.27,0.67,3.69,0.76,2.1,0.301,1.95,0.29,4.3,0.71,< 5,3.31,0.83,0.917,12.02,35.07,2.52,,,,,,-71.162,-40.497,45.0
2,Filo Hua Hum lake,DP19,Basalt,61.1,1.004,15.5,5.03,0.117,1.62,3.4,4.41,2.87,0.32,3.17,98.56,11,2,70,< 20,70,52,448,21.9,238,15.3,1.8,638,27.9,57.7,6.83,27.2,5.61,1.5,4.92,0.78,4.4,0.91,2.51,0.344,2.56,0.36,5.6,1.06,12,5.52,1.73,0.882,11.06,26.32,2.19,,,,,,-71.206,-40.487,45.0
3,Pampa de Jones,DP10,Andesite,60.98,0.933,14.87,4.9,0.089,1.59,4.04,3.84,2.59,0.33,4.16,98.32,10,3,72,< 20,50,70,325,32.6,310,24.6,3.7,687,38.3,80.2,9.63,34.9,6.91,1.6,5.91,0.98,5.71,1.21,3.44,0.522,3.56,0.51,7,1.93,11,9.49,2.45,0.773,8.57,19.84,1.94,,,,,,-71.252,-40.435,45.0
4,Pampa de Jones,DP14,Vitreous Lapilli,68.72,0.677,14.56,3.63,0.065,0.89,1.59,4.32,2.92,0.15,2.37,99.89,7,2,42,20,40,74,174,24.2,302,15.9,1,587,30.8,62.6,7.19,25.8,4.87,1.14,4.18,0.7,4.09,0.85,2.48,0.387,2.63,0.4,6.7,1.52,7,8.93,2.51,0.78,9.38,20.26,1.85,,,,,,-71.178,-40.521,45.0
5,Pampa de Jones,DP41,Rhyolite,68.26,0.641,15.37,3.44,0.094,0.25,0.39,5.28,3.42,0.15,2.02,99.32,7,3,26,< 20,60,77,241,27.8,376,22.7,1.1,773,33.5,79.9,8.53,33.2,6.75,1.53,5.74,0.96,5.55,1.15,3.28,0.483,3.41,0.51,8.6,1.59,16,10.4,2.63,0.759,9.67,21.07,1.98,,,,,,-71.295,-40.501,45.0
6,Pampa de Jones,DP49,Rhyolite,73.28,0.361,13.29,2.09,0.045,0.31,0.67,4.06,4.32,0.06,1.15,99.64,5,2,13,< 20,40,91,144,27,296,16.1,0.4,804,35,71.8,8.41,30.1,5.6,1.11,4.79,0.78,4.42,0.92,2.65,0.416,2.9,0.42,6.7,1.43,8,10.5,2.61,0.662,11.19,24.48,1.93,,,,,,-71.258,-40.499,45.0
7,Pampa de Jones,DP51,Rhyolite,73.28,0.377,12.65,2.06,0.047,0.43,0.67,3.26,4.64,0.06,1.09,98.57,5,3,13,< 20,< 30,113,126,26.5,306,19.9,0.7,822,34.8,72.4,8.32,29.3,5.57,1.09,4.61,0.78,4.48,0.94,2.67,0.432,2.86,0.43,7.2,1.67,7,11,2.64,0.664,11.35,20.84,1.95,,,,,,-71.257,-40.501,45.0
8,Pampa de Jones,DP54,Andesite,61.73,1.008,14.91,6.08,0.125,1.95,3.15,4.66,3.76,0.28,2.63,100.3,12,2,94,20,70,78,284,25.4,274,19.6,0.7,785,29.3,59.6,6.84,26.7,5.48,1.33,5.12,0.85,4.97,1.03,2.86,0.421,2.98,0.43,6.2,1.45,13,6.43,1.76,0.775,13.17,20.21,1.84,,,,,,-71.259,-40.504,45.0
9,Pampa de Jones,DP57,Lithic/crystal-tuff,63.85,0.869,15.89,4.94,0.1,1.22,3.1,4.08,2.92,0.24,3.74,100.9,10,3,53,< 20,60,68,351,41.8,366,28.2,1.5,824,38,78.8,9.43,35.6,7.11,1.85,6.63,1.16,7.12,1.56,4.58,0.735,4.84,0.69,8.5,2.32,9,13.1,3.04,0.832,10.45,16.38,1.47,,,,,,-71.328,-40.473,45.0
