Sample,Reference,Rock type,P o V,Unit or Location,Group or Location,UTM East,UTM North,age,sio2,tio2,al2o3,fe2o3_tot,feo_tot,fe2o3,feo,FeO Frost,mno,mgo,cao,na2o,k2o,p2o5,LOI,Total,Total Anhidrous (%),sr_ppm,rb_ppm,ba_ppm,th_ppm,u_ppm,ta_ppm,nb_ppm,zr_ppm,hf_ppm,y_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,sc_ppm,zn_ppm,co_ppm,ni_ppm,cr_ppm,v_ppm,se_ppm,Br,cu_ppm,as_ppm,Be,Sb,Sn,W,Bi,Cd,Cs,ga_ppm,ge_ppm,in_ppm,mo_ppm,pb_ppm,ag_ppm,Tl
C7B-095,Girardi 2014,Grd,P,Intrusivos,Punta del Cobre,,,96.6,68.61,0.35,15.85,,,2,0.6,0.6,0.06,1.03,3.33,3.68,1.75,0.12,1.55,98.92,97.37,458,35,461,2.32,0.59,0.52,6.3,90,2.1,11.3,12.5,25.3,3.08,11.9,2.41,0.76,1.88,0.32,1.74,0.36,1.02,0.17,1.16,0.22,,,,,,,,,,,,,,,,,,,,,,,,
C6B-163,Girardi 2014,Gr,P,Plutón Ojancos Viejos - Jesús María,Batolito Copiapó,,,99.3,74.29,0.13,12.7,,,1.77,,1.77,0.03,0.35,1.74,2.83,4.33,0.02,0.41,98.6,98.19,193,82,588,12.2,2.86,1.01,5.7,70,2.1,15.4,16,29.7,3.07,10.7,2.27,0.44,2.03,0.36,2.12,0.45,1.42,0.25,1.95,0.34,,,,,,,,,,,,,,,,,,,,,,,,
PC 855*,Marschik et al 2003,Diorite–gabbro,P,Laccolith,Batolito Copiapó,376145,6960666,101,51.11,0.78,14.63,,,8.48,,8.48,0.97,8.09,9.39,2.52,1.76,0.24,2.11,100.07,97.96,488,53,1082,3,3,,9,96,6,19,17.4,41.9,5.6,23.4,5.7,1.56,3.3,,2.7,0.51,1.1,0.13,0.7,0.09,45,305,35,111,443,175,,,11,11,,,,,,,,16,,,,26,,
PC 856,Marschik et al 2003,Diorite–gabbro,P,Laccolith,Batolito Copiapó,376131,6960555,101,49.28,0.85,14.04,,,8.35,,8.35,0.18,11.2,8.79,1.96,0.89,0.22,2.7,98.46,95.76,416,38,182,8,<2,,5,71,21,28,,,,,,,,,,,,,,,45,115,45,185,653,168,,,13,<3,,,,,,,,21,,,,27,,
C8K-187,Girardi 2014,Dio,P,Plutón Sierras Pajas Blancas,Batolito Copiapó,,,101.4,51.34,1.04,16.34,,,9.78,,9.78,0.13,5.86,8.59,2.94,1.43,0.13,2.39,99.97,97.58,480,70,242,6.6,1.4,<1,,98,3,24,25.9,48,,22,5.7,1.9,,<0.5,,,,,2.9,0.4,,,,,,,,,,,,,,,,,,,,,,,,
CaB-246,Girardi 2014,Gab,P,Diorita Sierra Atacama,Sierra Atacama,,,101.7,47.88,0.87,19.96,,,8.95,,8.95,0.1,4.73,11.58,3.26,0.34,0.03,1.01,98.71,97.7,445,2,73,0.42,0.23,0.03,0.5,13,0.3,11.4,4.51,11.4,1.61,6.98,1.81,0.84,1.96,0.35,2.1,0.44,1.29,0.19,1.29,0.21,,,,,,,,,,,,,,,,,,,,,,,,
C9G-170,Girardi 2014,Ton,P,Plutón Sierras Pajas Blancas,Batolito Copiapó,,,105.9,64.63,0.41,15.45,,,2.06,1.8,1.8,0.08,1.92,4.78,3.47,2.56,0.11,0.95,98.21,97.26,472,62,442,6.23,2.2,0.46,4.1,126,3.1,12.4,16.6,33.8,3.88,14.3,2.9,0.41,2.38,0.35,2.03,0.4,1.19,0.18,1.29,0.22,,,,,,,,,,,,,,,,,,,,,,,,
C9G-166b,Girardi 2014,Qdi,P,,,,,106,57.7,0.65,18.01,,,7.07,,7.07,0.13,3.2,7.48,3.73,1.22,0.18,0.16,99.54,99.38,634,17,278,1.93,0.63,0.22,3.3,105,2.4,15.8,12.9,27.6,3.4,14.2,3.36,1.04,2.86,0.47,2.64,0.53,1.52,0.23,1.6,0.27,,,,,,,,,,,,,,,,,,,,,,,,
CaB-171a,Girardi 2014,Ton,P,Plutón Sierras Pajas Blancas,Batolito Copiapó,,,106.8,66.1,0.36,15.69,,,2.19,1.78,1.78,0.07,1.56,4.39,3.7,2.33,0.17,0.78,99.11,98.33,443,47,635,4.91,1.44,0.64,6.2,150,3.5,14.2,22.7,44.1,4.88,17.6,3.14,0.3,2.44,0.36,2.12,0.41,1.29,0.21,1.54,0.26,,,,,,,,,,,,,,,,,,,,,,,,
PC 1310*,Marschik et al 2003,Diorite,P,Granodiorita Los Lirios,Batolito Copiapó,365420,6947980,110,59.9,0.52,18.23,,,3.69,,3.69,0.14,3.18,8.43,4.24,1.05,0.17,1.08,100.63,99.55,692,21,583,1,<2,,2,79,6,26,15.5,34.5,4.3,21.4,5.2,1.24,4.3,,4,0.74,1.9,0.26,1.6,0.24,16,34,43,2,10,80,,,49,3,,,,,,,,16,,,,23,,
