,Sample,Reference,Rock type,P o V,Unit or Location,Group or Location,UTM East,UTM North,age,sio2,tio2,al2o3,fe2o3_tot,feo_tot,fe2o3,feo,FeO Frost,mno,mgo,cao,na2o,k2o,p2o5,LOI,Total,Total Anhidrous (%),sr_ppm,rb_ppm,ba_ppm,th_ppm,u_ppm,ta_ppm,nb_ppm,zr_ppm,hf_ppm,y_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,sc_ppm,zn_ppm,co_ppm,ni_ppm,cr_ppm,v_ppm,se_ppm,Br,cu_ppm,as_ppm,Be,Sb,Sn,W,Bi,Cd,Cs,ga_ppm,ge_ppm,in_ppm,mo_ppm,pb_ppm,ag_ppm,Tl,Longitude,Latitude
2,PC 855*,Marschik et al 2003,Diorite–gabbro,P,Laccolith,Batolito Copiapó,376145.0,6960666.0,101.0,51.11,0.78,14.63,,,8.48,,8.48,0.97,8.09,9.39,2.52,1.76,0.24,2.11,100.07,97.96,488.0,53,1082.0,3,3,,9.0,96.0,6.0,19.0,17.4,41.9,5.6,23.4,5.7,1.56,3.3,,2.7,0.51,1.1,0.13,0.7,0.09,45,305.0,35.0,111,443.0,175.0,,,11,11,,,,,,,,16.0,,,,26,,,-70.25356510000537,-27.47194182810583
3,PC 856,Marschik et al 2003,Diorite–gabbro,P,Laccolith,Batolito Copiapó,376131.0,6960555.0,101.0,49.28,0.85,14.04,,,8.35,,8.35,0.18,11.2,8.79,1.96,0.89,0.22,2.7,98.46,95.76,416.0,38,182.0,8,<2,,5.0,71.0,21.0,28.0,,,,,,,,,,,,,,,45,115.0,45.0,185,653.0,168.0,,,13,<3,,,,,,,,21.0,,,,27,,,-70.253718109996,-27.47294241803733
9,PC 1310*,Marschik et al 2003,Diorite,P,Granodiorita Los Lirios,Batolito Copiapó,365420.0,6947980.0,110.0,59.9,0.52,18.23,,,3.69,,3.69,0.14,3.18,8.43,4.24,1.05,0.17,1.08,100.63,99.55,692.0,21,583.0,1,<2,,2.0,79.0,6.0,26.0,15.5,34.5,4.3,21.4,5.2,1.24,4.3,,4.0,0.74,1.9,0.26,1.6,0.24,16,34.0,43.0,2,10.0,80.0,,,49,3,,,,,,,,16.0,,,,23,,,-70.36350356662699,-27.585417957452766
10,PC 97007*,Marschik et al 2003,Hornblende diorite,P,Granodiorita Los Lirios,Batolito Copiapó,365360.0,6948220.0,110.0,55.36,0.56,18.79,,,7.65,,7.65,0.12,2.93,7.08,4.51,1.16,0.22,0.98,99.36,98.38,711.0,33,426.0,3,<2,,0.5,90.0,7.0,21.0,14.4,31.4,4.3,17.8,4.6,1.33,3.1,,3.3,0.71,2.0,0.3,1.7,0.25,16,38.0,19.0,4,98.0,164.0,,,34,<3,,,,,,,,19.0,,,,17,,,-70.36408451424205,-27.583245922249176
11,PC 97008*,Marschik et al 2003,Hornblende diorite,P,Granodiorita Los Lirios,Batolito Copiapó,365372.0,6948218.0,110.0,56.95,0.52,18.09,,,7.17,,7.17,0.1,2.87,7.08,4.29,1.02,0.2,1.04,99.33,98.29,663.0,30,322.0,<2,<2,,0.5,52.0,8.0,21.0,13.8,30.5,4.1,17.0,4.4,1.21,3.3,,3.3,0.7,1.8,0.28,1.8,0.26,16,40.0,21.0,5,127.0,164.0,,,38,<3,,,,,,,,18.0,,,,20,,,-70.36396318941411,-27.583265166893558
12,PC 1371*,Marschik et al 2003,,P,Granodiorita Los Lirios,Batolito Copiapó,364550.0,6953700.0,110.0,65.38,0.39,16.68,,,4.34,,4.34,0.09,1.7,4.96,3.98,2.04,0.14,0.49,100.18,99.69,546.0,41,748.0,2,<2,,0.5,76.0,7.0,20.0,12.9,29.5,3.5,15.3,3.1,0.92,2.3,,2.3,0.49,1.4,0.21,1.3,0.2,8,27.0,72.0,<2,22.0,74.0,,,16,5,,,,,,,,17.0,,,,14,,,-70.37167408545723,-27.533706564165012
13,PC 97009*,Marschik et al 2003,Tonalite,P,Granodiorita Los Lirios,Batolito Copiapó,364520.0,6953320.0,110.0,62.96,0.41,17.04,,,5.03,,5.03,0.09,1.81,5.33,4.13,1.74,0.16,0.53,99.23,98.7,542.0,43,608.0,<2,<2,,0.5,94.0,7.0,18.0,12.4,26.5,",1.0",13.6,3.4,0.97,2.5,,2.5,0.52,1.5,0.24,1.4,0.22,10,30.0,11.0,5,194.0,90.0,,,16,<3,,,,,,,,18.0,,,,23,,,-70.37202041732854,-27.537133182890344
14,PC 1377,Marschik et al 2003,Tonalite,P,Granodiorita Los Lirios,Batolito Copiapó,366440.0,6947420.0,110.0,60.51,0.44,17.87,,,6.16,,6.16,0.11,2.19,5.5,3.87,2.08,0.22,1.12,100.06,98.94,687.0,45,756.0,2,<2,,1.0,107.0,6.0,22.0,,,,,,,,,,,,,,,14,55.0,45.0,<2,14.0,101.0,,,38,1,,,,,,,,18.0,,,,14,,,-70.35323379518735,-27.59057321253368
15,PC 1334*,Marschik et al 2003,Aplite,P,Dike,Batolito Copiapó,372420.0,6960820.0,110.0,76.41,0.22,12.79,,,1.21,,1.21,0.01,0.27,0.2,2.91,6.05,0.04,0.42,100.53,100.11,61.0,208,502.0,44,12,,14.0,141.0,5.0,36.0,24.6,52.6,5.9,22.3,4.9,0.52,3.9,,5.5,1.21,3.4,0.52,3.6,0.52,2,39.0,162.0,3,17.0,20.0,,,20,<3,,,,,,,,13.0,,,,32,,,-70.2912428286235,-27.47020737864289
16,PC 1509,Marschik et al 2003,Aplite,P,Dike,Batolito Copiapó,371190.0,6958100.0,110.0,71.85,0.31,13.19,,,2.3,,2.3,0.01,0.36,0.86,2.5,6.26,0.05,1.17,98.86,97.69,75.0,285,588.0,62,17,,13.0,260.0,6.0,23.0,,,,,,,,,,,,,,,<2,14.0,3.0,6,254.0,32.0,,,44,<3,,,,,,,,20.0,,,,25,,,-70.30397822860363,-27.49464109636192
