,sample,south,west,we  dist,lithology,unit,map unit,unit details,map nomenclature,cycle,rock type by map,age,unnamed: 0,wtkg,sio2,tio2,ti_ppm,al2o3,al_ppm,fe2o3,fe_ppm,mno,mn_ppm,mgo,mg_ppm,cao,ca_ppm,na2o,k2o,k_ppm,unnamed: 19,cr2o3,cr_ppm,p2o5,p_ppm,rb_ppm,cs_ppm,sr_ppm,sr.1,ba_ppm,ba.1,th_ppm,u_ppm,zr_ppm,zr.1,hf_ppm,nb_ppm,nb.1,y_ppm,y.1,cu_ppm,zn_ppm,zn.1,li_ppm,cd_ppm,ga_ppm,ge_ppm,mo_ppm,sb_ppm,sn_ppm,w_ppm,ta_ppm,pb_ppm,co_ppm,ni_ppm,loi,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,sc_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,be_ppm,v_ppm,ag_ppm,as_ppm,bi_ppm,in,tl_ppm,longitude,latitude
0,10714H,13.95362,75.67537,1.2576531053835844,Grdt,Linga Humay,Linga Humay,Linga monzodiorite Humay,K-mdi-h,105-96,Monzodiorite,105.0,Linga Humay,0.42,56.6,0.66,0.39,15.9,8.34,7.31,5.26,0.12,1010,2.42,1.49,5.37,4,3.7,2.75,2.4,,<0.01,90,0.14,0.08,120,6.8,290,307,800,850,15.4,3.98,180,189,4,5,4,30,27.1,84,52,45,20,0.8,19,2,4,1.9,3,3,0.25,20,19.4,6,0.55,22.3,47.1,6.13,25.2,5.1,20,1.01,4.7,0.81,4.5,0.93,2.73,0.43,2.7,0.46,2.5,156,0.5,6,0.05,0.1,0.25,-75.67537,-13.95362
1,10714J,13.92279,75.6786,3.4380999402606127,Grt,Linga Auquish,Linga Auquish,Linga Auquish monzogranite,K-mgr-a,105-96,Granodiorite,103.0,Linga Auquish,0.31,65,0.51,0.3,14.1,7.42,4.52,3.25,0.08,630,1.06,0.62,3,2.2,3.3,3.98,3.4,,0.02,140,0.09,0.06,204,12.5,200,202,970,962,36.4,6.92,260,216,11,5,5,40,36.2,35,42,35,10,0.3,17,2,4,3,4,2,0.25,15,9.1,2.5,0.53,28.7,59.9,7.75,31,6.3,11,0.81,5.89,0.99,5.87,1.27,3.71,0.55,3.8,0.58,2.5,65,0.5,7,0.05,0.1,0.7,-75.6786,-13.92279
2,10714K,13.87099,75.63913,10.418298337776385,Qzmzd  ,Linga Humay,Linga Humay,Linga monzodiorite Humay,K-mdi-h,105-96,Monzodiorite,105.0,Linga Humay,0.47,52.5,0.88,0.53,17.6,9.16,9.31,6.59,0.15,1210,3.34,1.96,7.2,5.2,3.6,1.18,1.1,,<0.01,60,0.23,0.12,33.3,1.9,400,395,800,825,2,0.69,50,63.3,2,5,2,20,24.5,13,65,56,5,0.8,21,2,1,0.6,2,1,0.25,7,22.1,2.5,1.42,14.7,31.1,4.33,19,4.4,26,1.21,4.16,0.7,4.11,0.86,2.47,0.36,2.4,0.38,2.5,231,0.5,2.5,0.05,0.1,0.25,-75.63913,-13.87099
3,10714M,13.8371,75.59167,16.584107522024627,Mzd,Pampahuasi,Pampahuasi,Pampahuasi diorite-tonalite,Ks-pa/di-to,98-92,Monzodiorite,98.0,Pampahuasi,0.46,54.2,0.86,0.51,17.8,9.22,8.12,5.73,0.18,1400,2.57,1.55,6.32,4.6,3.9,2.81,2.4,,<0.01,170,0.36,0.18,131,8.2,460,469,1100,1080,18,4.17,270,259,7,10,8,30,30.3,26,86,73,5,0.4,21,2,2,0.4,3,2,0.25,12,16.7,2.5,0.59,37.8,78.1,10,41.7,8.1,14,1.7,6.51,1.05,5.63,1.17,3.21,0.46,3.1,0.49,2.5,127,0.5,2.5,0.05,0.1,0.5,-75.59167,-13.8371
4,10714P,13.83987,75.56205,18.55386411075831,Ton,Pampahuasi,Pampahuasi,Pampahuasi diorite-tonalite,Ks-pa/di-to,98-92,Tonalite-Diorite,92.0,Pampahuasi,0.33,56.3,0.75,0.45,15.5,8.34,7.87,5.55,0.16,1240,2.68,1.63,5.72,4.3,3.7,1.76,1.5,,<0.01,80,0.16,0.09,52.7,2.7,310,329,860,853,9.9,1.83,150,125,7,5,5,40,37.2,23,73,64,10,0.3,20,2,1,0.7,2,1,0.25,11,17.6,2.5,0.51,27.9,56.6,7.32,29.5,6.6,24,1.3,6.21,1.01,6.16,1.32,4.01,0.6,3.9,0.62,2.5,161,0.5,2.5,0.05,0.1,0.25,-75.56205,-13.83987
5,10714Q,13.81248,75.51926,23.86518563534242,Grdt,Tiabaya,Tiabaya,Tiabaya granodiorite-tonalite,K-gd-t,85-78,Granodiorite,80.0,Tiabaya,0.2,65.3,0.48,0.27,16,8.25,4.2,2.85,0.08,630,1.51,0.9,4.13,2.9,4,2.84,2.4,,0.03,190,0.13,0.07,81.5,2.5,570,573,990,948,8.4,2.34,100,75.9,2,5,4,5,8.1,26,90,73,10,0.1,19,2,6,0.6,1,2,0.25,12,10.5,9,0.63,19.8,37.1,4.21,15,2.3,2.5,0.59,1.76,0.25,1.48,0.28,0.77,0.12,0.8,0.13,2.5,85,0.5,2.5,0.05,0.1,0.25,-75.51926,-13.81248
6,10715B,13.73208,75.92461,0.23501681095833318,Gab,Old Gabbro,Old Gabbro,Linga monzogabbro Humay,K-mgb-h,105--96,Monzogabbro,105.0,Old Gabbro,0.27,47.8,0.56,0.34,20.4,11,7.95,5.72,0.13,1010,5.96,3.57,10.4,7.7,2.9,0.17,0.2,,0.01,130,0.01,0.02,2.6,0.2,810,844,100,113,0.3,0.06,10,10.1,0.5,5,0.5,5,4.5,16,57,55,5,0.2,23,1,1,0.2,0.5,1,0.25,10,30.8,27,0.58,3.4,5.9,0.9,4,0.9,20,0.72,0.95,0.14,0.93,0.17,0.51,0.07,0.5,0.1,2.5,257,0.5,2.5,0.05,0.1,0.25,-75.92461,-13.73208
7,10715C,13.71041,75.84041,8.159531954556392,Qzmzn,Linga Auquish,Linga Auquish,Linga Auquish monzonite,K-m-a  ,105-96,Monzonite,103.0,Linga Auquish,0.31,65.1,0.44,0.26,14.5,7.47,4.1,2.79,0.06,510,0.74,0.43,2.35,1.7,3.1,5.34,4.6,,0.01,100,0.09,0.05,146,0.9,200,212,1930,1830,22.2,6.24,340,296,9,5,6,30,30.1,96,41,33,5,0.4,18,2,4,1.3,1,2,0.25,9,9.4,2.5,1.92,40.3,69.7,7.97,28.9,5.4,8,0.76,4.88,0.85,4.81,1.04,3.14,0.49,3.2,0.52,2.5,31,0.5,2.5,0.05,0.1,0.25,-75.84041,-13.71041
8,10715D,13.66571,75.77123,16.78423059650024,Mzd,Linga Auquish,Linga Auquish,Linga Auquish monzonite,K-m-a  ,105-96,Monzodiorite,103.0,Linga Auquish,0.6,57.4,0.85,0.5,17.7,9.18,5.05,3.41,0.09,670,3.13,1.89,7,4.9,5.9,0.47,0.5,,0.02,40,0.01,0.02,11.4,0.5,410,406,420,431,8.1,1.93,120,118,3,5,4,30,25.1,7,43,29,5,0.3,20,2,1,0.9,4,1,0.25,8,8.5,2.5,1.23,16.3,45,6.54,26.5,5.5,25,1.57,4.74,0.73,4.17,0.94,2.56,0.41,2.7,0.42,2.5,77,0.5,2.5,0.05,0.1,0.25,-75.77123,-13.66571
9,10715E,13.66048,75.76123,17.934303262622745,Mzd,Pampahuasi,Pampahuasi,Pampahuasi diorite-tonalite,Ks-pa/di-to,98-92,Monzodiorite,98.0,Pampahuasi,0.58,59.3,0.72,0.42,16.2,8.34,6.9,4.79,0.13,970,2.15,1.33,5.2,3.7,3.9,2.99,2.5,,<0.01,100,0.12,0.07,88.3,1.6,290,294,1190,1170,14,4.35,250,267,7,5,5,30,25.2,38,38,25,10,0.1,19,2,4,0.7,3,1,0.25,7,15.7,5,0.48,24.4,47.5,5.92,23.6,4.8,17,1.02,4.29,0.71,4.05,0.91,2.65,0.4,2.9,0.41,2.5,139,0.5,2.5,0.05,0.1,0.25,-75.76123,-13.66048
