,run,sample number,unit,drillhole name,from (m),to (m),easting,northing,age,uncertainty (ma),column1,sio2,al2o3,fe2o3,mgo,cao,na2o,k2o,tio2,p2o5,mno,cr2o3,ba_ppm,sc_ppm,sum,cs_ppm,ga_ppm,hf_ppm,nb_ppm,rb_ppm,sn_ppm,sr_ppm,ta_ppm,th_ppm,u_ppm,v_ppm,w_ppm,zr_ppm,y_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,mo_%,cu_%,pb_%,zn_%,ag_grt,ni_ppm,loi_%,totc_%,tots_%,mo_ppm,cu_ppm,pb_ppm,zn_ppm,ag_ppb,ni_ppm2,co_ppm,mn_ppm,as_ppm,au_ppb,cd_ppm,sb_ppm,bi_ppm,cr_ppm,b_ppm,tl_ppm,hg_ppb,se_ppm,te_ppm,ge_ppm,in_ppm,re_ppb,be_ppm,li_ppm,pd_ppb,pt_ppb,zrc sat t (℃),longitude,latitude
0,,Qu-008,Quellaveco Granodiorite,,,,328420.0,8108526.0,60.0,1.49,,71.02,16.73,0.62,0.33,1.66,5.4,1.98,0.38,0.05,0.01,0.001,505,4,99.83,0.5,14.2,3.0,4.3,52.2,2,548.5,0.2,3.7,1.7,25,7.7,108.6,4.6,23.6,41.7,4.13,13.7,1.8,0.58,1.23,0.21,0.89,0.16,0.44,0.06,0.37,0.06,,,,,,,1.6,0.02,0.02,5.31,77.84,2.97,8.3,2048,1.1,0.4,32,0.1,2,0.02,0.03,0.26,2.4,2,0.02,5,0.2,0.02,0.1,0.09,1,0.1,0.5,0.5,0.1,772.2013440476519,-70.61263078719092,-17.101321817324713
1,,Qu-380,Toquepala Granodiorite,,,,329115.0,8096512.0,60.985,1.57,,64.64,15.81,4.42,1.9,3.89,3.96,3.25,0.57,0.16,0.08,0.004,723,10,99.96,3.0,18.3,5.7,7.4,116.3,1,476.6,0.4,15.0,4.3,91,1.1,188.9,19.9,24.8,52.9,6.18,23.7,4.09,0.95,3.29,0.63,2.95,0.61,1.63,0.27,1.62,0.29,,,,,,,1.2,0.03,0.02,2.15,65.42,20.34,57.2,85,7.4,6.5,153,2.2,2,0.23,0.19,0.03,14.2,4,0.04,45,0.2,0.02,0.1,0.02,2,0.1,10.4,0.5,0.3,821.2800065021538,-70.60703472593711,-17.209930249091936
2,,Qu-381,Toquepala Granodiorite (Aplite Dyke),,,,329115.0,8096512.0,60.2,1.38,,75.12,12.68,1.8,0.26,0.31,3.35,5.34,0.22,0.06,0.03,0.002,282,3,100.0,7.3,14.1,4.5,8.6,225.3,2,104.7,0.6,41.1,7.2,23,2.6,115.6,25.1,39.6,84.1,9.45,32.8,4.9,0.43,3.67,0.73,3.32,0.68,2.03,0.38,2.25,0.39,,,,,,,0.8,0.03,0.03,1.25,57.0,13.07,38.1,86,3.1,2.1,199,2.5,3,0.14,0.5,0.03,9.0,3,0.06,24,0.1,0.02,0.1,0.02,1,0.3,2.4,0.5,0.1,777.518108239748,-70.60703472593711,-17.209930249091936
3,,Qu-700,Cuajone Diorite,,,,315535.0,8114974.0,64.2,1.5,,62.86,15.69,4.83,1.79,4.46,3.32,3.32,0.56,0.16,0.07,0.003,651,12,99.78,5.5,16.7,4.9,5.8,118.5,1,380.7,0.4,18.2,5.0,96,1.7,171.4,12.8,21.7,44.9,5.23,19.7,3.9,0.85,3.06,0.47,2.58,0.48,1.38,0.21,1.4,0.22,,,,,,,2.7,0.38,0.01,1.66,60.94,3.13,43.6,64,8.0,11.7,475,1.5,1,0.07,0.18,0.04,12.7,4,0.04,5,0.1,0.02,0.1,0.03,1,0.2,17.3,0.5,0.3,812.3295327713997,-70.73315609269159,-17.042062016172544
4,,Qu-701,Cuajone Diorite,,,,316290.0,8116626.0,65.1,1.6,,62.64,16.19,5.25,2.27,4.2,3.14,3.4,0.67,0.16,0.19,0.003,668,15,99.47,9.2,18.1,6.9,6.7,108.5,2,416.6,0.5,18.5,4.3,115,1.9,230.2,22.5,23.9,52.2,6.69,26.7,5.02,1.08,4.54,0.75,3.8,0.83,2.4,0.42,2.59,0.41,,,,,,,1.4,0.01,0.02,1.33,1609.53,9.55,390.9,1112,11.6,10.1,666,1.7,1,0.67,0.31,0.19,20.7,4,0.04,5,0.2,0.08,0.2,0.11,1,0.2,3.8,0.5,0.3,839.947568864824,-70.72592780750232,-17.027195916890573
5,,Qu-705,Toquepala Granodiorite,,,,327942.0,8092833.0,60.985,1.5,,62.52,17.7,4.82,2.14,2.83,4.65,0.92,0.54,0.21,0.13,0.002,260,9,99.7,4.9,19.8,3.6,4.6,31.3,2,572.2,0.3,4.5,1.6,93,10.9,127.9,10.0,21.3,43.0,5.07,19.2,3.23,1.0,2.55,0.39,1.81,0.37,0.96,0.18,0.95,0.17,,,,,,,3.2,0.11,1.72,3.77,536.7,42.08,180.7,354,11.5,11.7,1040,2.2,1,0.59,0.33,0.3,16.0,3,0.02,5,0.4,0.05,0.1,0.07,2,0.2,5.4,0.5,0.3,786.2400697569337,-70.61835204663326,-17.243084387058815
6,MAAPER10052182X,QVC19CN-002,Intermineral 2,MQ-04-02,110.75,110.85,327500.0,8108800.0,55.286249999999995,,,72.04,13.86,2.82,0.82,0.71,2.59,4.4,0.26,0.12,0.03,0.004,968,3,99.61,1.9,9.7,2.3,3.2,86.0,1,265.0,0.3,2.4,1.3,21,8.9,77.8,4.8,11.5,22.1,2.47,8.7,1.46,0.45,1.15,0.16,0.85,0.16,0.53,0.09,0.58,0.11,0.003,0.218,<0.02,<0.01,<2,<10,1.8,0.04,1.2,35.58,2272.22,19.72,39.9,1159,4.1,13.0,210,0.6,6.6,0.25,0.1,0.03,6.2,2,0.05,<5,1.5,0.02,<0.1,0.02,32,0.2,3.8,<10,<2,744.6993231629025,-70.62125366119045,-17.098776996349567
7,MAAPER10052183X,QVC19CN-003,Regional Granodiorite,MQ-04-02,78.3,78.38,328420.0,8108526.0,58.91,,,66.65,17.6,3.09,1.33,1.1,3.84,2.7,0.36,0.18,0.03,0.003,492,5,99.41,4.7,15.0,2.8,3.5,64.9,2,390.4,0.2,4.2,1.9,45,10.1,98.6,6.3,18.0,32.0,3.58,13.0,2.1,0.64,1.63,0.21,1.21,0.21,0.68,0.1,0.66,0.11,0.003,0.348,<0.02,<0.01,<2,<10,2.4,0.05,1.08,29.06,3642.66,9.84,37.2,1691,2.8,8.3,250,0.2,13.8,0.14,0.41,0.07,4.8,3,0.05,8,1.4,0.03,<0.1,0.04,19,0.3,7.3,<10,<2,764.0842223229706,-70.61263078719092,-17.101321817324713
8,MAAPER10052184X,QVC19CN-004,Intermineral 2,MQ-04-02,167.8,167.9,327500.0,8108800.0,55.286249999999995,,,66.76,16.86,2.46,1.21,3.39,4.24,2.43,0.36,0.15,0.04,0.006,1652,5,99.61,3.7,16.0,2.7,3.6,48.6,<1,614.9,0.3,3.2,1.1,48,1.8,95.6,6.2,15.7,31.8,3.53,13.4,2.42,0.66,1.64,0.21,1.12,0.21,0.6,0.09,0.59,0.1,0.011,0.171,<0.02,<0.01,<2,<10,1.5,0.07,0.47,118.01,1753.91,2.13,24.2,801,3.6,4.3,252,<0.1,8.2,0.12,0.02,<0.02,6.6,1,0.06,6,0.6,<0.02,<0.1,<0.02,132,0.3,9.9,<10,<2,761.5144334383799,-70.62125366119045,-17.098776996349567
9,MAAPER10052186X,QVC19CN-005,Regional Granodiorite,MQ-04-02,194.7,194.8,328420.0,8108526.0,58.91,,,68.77,16.09,1.88,1.13,3.05,3.79,3.09,0.33,0.15,0.04,0.003,804,5,99.71,3.2,13.6,2.7,3.6,51.3,<1,562.2,0.3,3.8,1.1,34,3.1,93.2,6.4,17.5,34.1,3.85,15.6,2.3,0.66,1.92,0.24,1.23,0.23,0.66,0.1,0.67,0.09,0.002,0.107,<0.02,<0.01,<2,<10,1.3,0.06,0.22,23.52,1091.43,2.04,22.4,449,2.7,3.0,285,0.5,2.5,0.1,<0.02,0.04,6.3,2,0.04,<5,0.4,<0.02,<0.1,<0.02,29,<0.1,8.2,<10,<2,759.4093882122102,-70.61263078719092,-17.101321817324713
