,sample,reference,region,age,error,method,a/cnk,a/nk,sr/y,y_ppm,rb/y,sio2,tio2,al2o3,fe2o3,mno,mgo,cao,na2o,k2o,p2o5,total,loi,cr_ppm,be_ppm,sc_ppm,ni_ppm,cu_ppm,zn_ppm,rb_ppm,sr_ppm,y_ppm,zr_ppm,nb_ppm,mo_ppm,cs_ppm,ba_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,hf_ppm,ta_ppm,w_ppm,pb_ppm,th_ppm,u_ppm,co_ppm,longitude,latitude
0,LEL-052,3,P,181.0,3,Field rel.,0.96,1.44,,,,69.66,0.40,14.63,1.35,0.09,0.98,2.76,4.24,2.97,0.11,99.23,,,,0.50,,,,109.00,262.00,,,8.70,,4.00,651.00,31.00,58.50,6.73,21.40,3.99,0.94,3.27,0.53,2.93,0.60,1.86,0.30,1.97,0.32,4.30,0.80,,,13.80,2.38,,-71.18352777777778,-42.35627777777778
1,ALE-055,3,P,184.9,2,Field rel.,0.95,1.50,,,,67.49,0.54,14.86,0.63,0.07,1.53,3.14,3.59,3.69,0.12,99.95,,,,9.00,,,,152.00,203.00,,,7.40,,4.70,573.00,29.90,57.30,6.74,22.70,4.85,1.01,4.26,0.74,4.31,0.87,2.65,0.41,2.56,0.41,6.78,0.69,,,20.00,2.83,,-70.47769444444445,-43.104055555555554
2,JSM-058,3,P,181.5,2,Field rel.,0.91,1.87,,,,61.46,0.88,16.11,2.11,0.11,2.52,4.97,3.74,2.27,0.18,99.57,,,,14.00,,,,93.00,297.00,,,7.00,,3.80,472.00,21.60,45.10,5.89,22.10,5.39,1.36,5.03,0.90,5.26,1.09,3.26,0.50,3.08,0.49,5.40,0.56,,,9.80,1.62,,-70.39433333333334,-44.00763888888889
3,MUZ-224,3,P,180.0,,Field rel.,,,,,,,,,,,,,,,,99.17,,,,34.00,,,,39.00,115.00,,,5.90,,2.30,268.00,16.50,34.50,4.06,16.40,3.84,0.96,3.76,0.67,4.18,0.88,2.77,0.41,2.63,0.40,3.70,0.39,,,6.30,1.57,,-71.46944444444445,-44.97316666666667
4,QUI-225,3,P,180.0,,Field rel.,,,,,,,,,,,,,,,,99.13,,,,34.00,,,,49.00,114.00,,,6.10,,1.60,249.00,16.30,34.00,3.98,16.40,3.70,0.96,3.76,0.67,4.16,0.89,2.77,0.41,2.59,0.39,3.50,0.37,,,6.10,1.55,,-70.65955555555556,-43.52525
5,QUI-227,3,P,180.0,,Field rel.,,,,,,,,,,,,,,,,99.32,,,,21.00,,,,9.00,101.00,,,2.10,,1.50,77.00,4.30,8.90,1.09,4.50,1.16,0.47,1.28,0.24,1.57,0.34,1.07,0.16,1.05,0.15,1.00,0.10,,,1.40,0.30,,-70.81219444444444,-42.750527777777776
6,M52,5,P,202.0,,Field rel.,0.97,1.60,50.29,11.60,9.72,67.44,0.45,15.63,3.84,0.05,1.86,3.51,3.81,3.25,0.15,99.84,0.60,,3.00,6.00,11.40,,,112.80,583.40,11.60,,7.00,,3.30,740.00,31.40,61.10,6.33,23.20,3.92,0.94,2.78,0.37,2.05,0.38,1.20,0.18,1.15,0.20,4.40,0.70,0.90,,15.40,,,-66.425,-47.73166666666667
7,M53,5,P,202.0,,Field rel.,0.99,1.42,40.99,11.80,18.23,70.01,0.35,14.93,2.87,0.03,1.23,2.53,3.56,4.32,0.11,99.82,0.30,,2.00,5.00,11.10,,,215.10,483.70,11.80,,7.40,,3.90,708.00,33.20,64.60,6.54,23.30,3.65,0.79,2.68,0.38,1.95,0.38,1.20,0.18,1.34,0.20,4.70,0.90,0.50,,22.40,,,-66.49833333333333,-47.81166666666667
8,M54,5,P,202.0,,Field rel.,1.01,1.41,174.64,2.50,51.88,73.56,0.14,14.37,1.55,0.02,0.38,2.18,3.26,4.48,0.04,99.90,0.10,,2.00,1.00,8.50,,,129.70,436.60,2.50,,1.80,,5.10,647.00,31.70,50.20,4.50,12.90,1.52,0.54,0.98,0.11,0.61,0.09,0.28,0.04,0.44,0.07,2.10,0.30,< 0.5,,23.40,,,-66.55,-47.86666666666667
9,M55,5,P,202.0,,Field rel.,1.03,1.12,6.15,6.20,48.19,77.25,0.11,12.35,1.17,0.01,0.08,0.51,3.26,5.22,0.02,99.93,0.30,,2.00,1.00,5.60,,,298.80,38.10,6.20,,8.10,,15.50,65.00,31.10,53.90,4.67,13.70,1.98,0.34,1.33,0.19,1.14,0.22,0.67,0.12,0.98,0.19,3.80,1.20,4.20,,43.80,,,-66.41833333333334,-47.705
