,sample,closest city,unit,rock,age group1,age,latitude,longitude,utm (e),utm (n),comments,references,sio2,al2o3,fe2o3,feo,cao,mgo,na2o,k2o,cr2o3,tio2,mno,p2o5,sro,bao,loi,total,as_ppm,ba_ppm,be_ppm,co_ppm,cr_ppm,cs_ppm,cu_ppm,ga_ppm,hf_ppm,li_ppm,ll,mn_ppm,mo_ppm,nb_ppm,ni_ppm,pb_ppm,rb_ppm,s_ppm,sc_ppm,sn_ppm,sr_ppm,ta_ppm,th_ppm,ti_ppm,tl_ppm,u_ppm,v_ppm,w_ppm,y_ppm,zn_ppm,zr_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,nb/y,zr/ti,la/yb,la/sm,sm/yb,sr/y,utm2long,utm2lat
0,CC03-24,Santiago,Dike swarm-ETDS(d),Dike,early Cretaceous,140,-32.0,-70.5,,,Approximate coordinates,Creixell (2007),50.31,14.83,2.08,6.72,8.07,10.15,1.91,0.83,,0.62,0.15,0.15,,,3.8,99.62,,187.11,,44.98,697.17,2.14,,,1.76,,,,,1.93,211.28,5.54,53.5,,31.14,,172.44,0.16,0.96,3716.9,,0.76,188.98,,13.68,81.67,54.94,5.62,12.19,10.55,8.08,2.23,0.73,2.19,1.75,2.41,0.51,1.48,0.73,1.46,0.21,0.14108187134502922,0.014781134816648282,3.849315068493151,2.5201793721973096,1.5273972602739727,12.605263157894736,inf,inf
1,CaB-054,Copiapo,Copiapo Plutonic Complex,Diorite,early Cretaceous,140,-27.5,-70.5,,,Approximate coordinates,Girardi (2014),55.28,17.57,7.29,,7.69,4.39,3.34,1.0,,0.87,0.11,0.18,,,0.96,98.68,,195.0,,,,,,,2.4,,,,,,,,,,,,444.0,2.0,3.5,5215.650000000001,,,,,15.0,,86.0,12.9,28.0,,12.0,3.4,1.3,,,,,,,2.0,0.32,,0.01648883648250937,6.45,3.794117647058824,1.7,29.6,inf,inf
2,CaB-057,Copiapo,Copiapo Plutonic Complex,Quartz diorite,early Cretaceous,140,-27.5,-70.5,,,Approximate coordinates,Girardi (2014),66.99,14.93,4.35,,2.55,1.29,3.05,4.28,,0.61,0.09,0.16,,,0.51,98.81,,1060.0,,,,,,,6.3,,,,,,,,160,,,,177.0,4.0,15.1,3656.95,,2.3,,,22.0,,204.0,39.9,74.0,,35.0,6.2,1.6,,,,,,,2.7,0.39,,0.05578419174448653,14.777777777777777,6.435483870967741,2.2962962962962963,8.045454545454545,inf,inf
3,CaB-070a,Copiapo,Copiapo Plutonic Complex,Granite,early Cretaceous,138,-27.5,-70.5,,,Approximate coordinates,Girardi (2014),74.85,12.93,1.69,,1.56,0.38,3.57,4.0,,0.18,0.04,0.04,,,0.25,99.49,,514.0,,,,,,,3.2,,,,,4.3,,,135,,,,149.0,0.61,12.0,1079.1000000000001,,1.75,,,13.7,,121.0,16.4,31.5,3.28,11.0,2.1,0.41,1.78,0.32,1.9,0.39,1.22,0.21,1.46,0.25,0.31386861313868614,0.11213047910295615,11.232876712328766,7.809523809523808,1.4383561643835618,10.875912408759124,inf,inf
4,CaB-070b,Copiapo,Copiapo Plutonic Complex,Granite,early Cretaceous,138,-27.5,-70.5,,,Approximate coordinates,Girardi (2014),79.07,11.85,0.23,,2.38,0.22,4.39,0.34,,0.07,0.01,0.04,,,0.94,99.54,,91.0,,,,,,,1.7,,,,,4.5,,,10,,,,342.0,0.66,7.77,419.6500000000001,,0.71,,,7.2,,59.0,1.47,3.07,0.41,1.81,0.6,0.1,0.67,0.15,0.9,0.2,0.62,0.1,0.74,0.13,0.625,0.1405933516025259,1.9864864864864864,2.45,0.8108108108108107,47.5,inf,inf
5,CaB-069a,Copiapo,Copiapo Plutonic Complex,Granodiorite,early Cretaceous,138,-27.5,-70.5,,,Approximate coordinates,Girardi (2014),61.45,16.01,6.12,,5.94,3.07,3.53,1.97,,0.64,0.09,0.12,,,0.49,99.42,,338.0,,,,,,,3.0,,,,,3.4,,,58,,,,355.0,0.29,4.5,3836.8,,0.82,,,22.0,,121.0,13.3,30.2,3.8,15.8,3.75,0.91,3.56,0.6,3.51,0.71,2.08,0.32,2.17,0.36,0.15454545454545454,0.03153669724770642,6.129032258064517,3.546666666666667,1.728110599078341,16.136363636363637,inf,inf
6,CaB-069b,Copiapo,Copiapo Plutonic Complex,Granodiorite,early Cretaceous,138,-27.5,-70.5,,,Approximate coordinates,Girardi (2014),62.89,16.61,2.92,,7.53,2.95,4.08,0.45,,0.64,0.07,0.11,,,0.86,99.11,,91.0,,,,,,,3.4,,,,,3.2,,,12,,,,438.0,0.33,6.59,3836.8,,1.3,,,23.3,,149.0,9.65,24.3,3.38,15.2,4.06,1.02,3.78,0.64,3.66,0.72,2.15,0.34,2.35,0.39,0.13733905579399142,0.03883444537114262,4.1063829787234045,2.3768472906403946,1.727659574468085,18.798283261802574,inf,inf
7,C9G-514b,Copiapo,Copiapo Plutonic Complex,Tonalite,early Cretaceous,137,-27.5,-70.5,,,Approximate coordinates,Girardi (2014),58.81,16.98,6.69,,6.51,2.99,3.66,1.51,,0.73,0.07,0.13,,,0.76,98.84,,293.0,,,,,,,3.2,,,,,3.4,,,46,,,,403.0,0.28,3.93,4376.35,,0.97,,,16.0,,142.0,14.4,29.7,3.74,14.9,3.17,1.05,2.95,0.5,2.77,0.57,1.68,0.27,1.83,0.29,0.2125,0.03244713059970066,7.868852459016393,4.542586750788644,1.7322404371584699,25.1875,inf,inf
8,DDH638-007-009,Copiapo,Dike-Punta del Cobre Formation,Andesite,early Cretaceous,137.1,-27.469,-70.255,376030.0,6961042.0,,Girardi (2014),51.09,14.17,18.73,,1.4,3.93,1.98,4.79,,0.88,0.19,0.12,,,1.55,98.83,,1170.0,,,,,,,2.9,,,,,,,,160,,,,184.0,,3.7,5275.6,,3.5,,,17.0,,104.0,3.4,11.0,,,2.3,0.8,,,,,,,3.2,0.44,,0.01971339752824323,1.0625,1.4782608695652175,0.7187499999999999,10.823529411764707,-70.25469037443577,-27.46853763871203
9,CaB-295,Copiapo,Copiapo Plutonic Complex,Diorite,early Cretaceous,137.5,-27.445,-70.653,336621.0,6963152.0,,Girardi (2014),60.65,16.82,6.07,,6.02,3.0,3.54,1.93,,0.66,0.11,0.13,,,0.86,99.79,,351.0,,,,,,,4.4,,,,,3.4,,,57,,,,365.0,0.32,5.18,3956.7000000000003,,0.98,,,23.5,,196.0,15.3,34.9,4.67,19.3,4.51,1.07,4.31,0.73,4.12,0.83,2.47,0.38,2.53,0.39,0.14468085106382977,0.04953622968635479,6.047430830039526,3.3924611973392462,1.782608695652174,15.53191489361702,-70.65314315462123,-27.44533243220489
